resource_id,semantic_key,resource_family,svg_path,png_24_path,png_32_path,png_48_path,png_64_path,source_placeholder_reference,production_candidate,replacement_ready,ready_for_pilot_review,requires_gating_review,semantic_risk,qa_status,qa_notes
result_overview,result.semantic.testing_summary_only,result_report_export,docs/ui/icon_production/result_report_export/svg/result_overview.svg,docs/ui/icon_production/result_report_export/png/24/result_overview.png,docs/ui/icon_production/result_report_export/png/32/result_overview.png,docs/ui/icon_production/result_report_export/png/48/result_overview.png,docs/ui/icon_production/result_report_export/png/64/result_overview.png,docs/ui/icon_extraction/batch_01/result_report_export/result_overview_64_placeholder.png,true,false,false,true,high: report/export visual affordance may imply enabled formal result or report-ready package,passed_candidate_gated_affordance,Independent vector candidate with transparent background; remains docs-only; high-risk report/export affordance requires gating review before any active pilot.
result_chart,result.semantic.testing_summary_only,result_report_export,docs/ui/icon_production/result_report_export/svg/result_chart.svg,docs/ui/icon_production/result_report_export/png/24/result_chart.png,docs/ui/icon_production/result_report_export/png/32/result_chart.png,docs/ui/icon_production/result_report_export/png/48/result_chart.png,docs/ui/icon_production/result_report_export/png/64/result_chart.png,docs/ui/icon_extraction/batch_01/result_report_export/result_chart_64_placeholder.png,true,false,false,true,high: report/export visual affordance may imply enabled formal result or report-ready package,passed_candidate_gated_affordance,Independent vector candidate with transparent background; remains docs-only; high-risk report/export affordance requires gating review before any active pilot.
result_table,result.semantic.testing_summary_only,result_report_export,docs/ui/icon_production/result_report_export/svg/result_table.svg,docs/ui/icon_production/result_report_export/png/24/result_table.png,docs/ui/icon_production/result_report_export/png/32/result_table.png,docs/ui/icon_production/result_report_export/png/48/result_table.png,docs/ui/icon_production/result_report_export/png/64/result_table.png,docs/ui/icon_extraction/batch_01/result_report_export/result_table_64_placeholder.png,true,false,false,true,high: report/export visual affordance may imply enabled formal result or report-ready package,passed_candidate_gated_affordance,Independent vector candidate with transparent background; remains docs-only; high-risk report/export affordance requires gating review before any active pilot.
result_statistics,analysis.status.testing_level,result_report_export,docs/ui/icon_production/result_report_export/svg/result_statistics.svg,docs/ui/icon_production/result_report_export/png/24/result_statistics.png,docs/ui/icon_production/result_report_export/png/32/result_statistics.png,docs/ui/icon_production/result_report_export/png/48/result_statistics.png,docs/ui/icon_production/result_report_export/png/64/result_statistics.png,docs/ui/icon_extraction/batch_01/result_report_export/result_statistics_64_placeholder.png,true,false,false,true,high: report/export visual affordance may imply enabled formal result or report-ready package,passed_candidate_gated_affordance,Independent vector candidate with transparent background; remains docs-only; high-risk report/export affordance requires gating review before any active pilot.
result_summary,result.semantic.testing_summary_only,result_report_export,docs/ui/icon_production/result_report_export/svg/result_summary.svg,docs/ui/icon_production/result_report_export/png/24/result_summary.png,docs/ui/icon_production/result_report_export/png/32/result_summary.png,docs/ui/icon_production/result_report_export/png/48/result_summary.png,docs/ui/icon_production/result_report_export/png/64/result_summary.png,docs/ui/icon_extraction/batch_01/result_report_export/result_summary_64_placeholder.png,true,false,false,true,high: report/export visual affordance may imply enabled formal result or report-ready package,passed_candidate_gated_affordance,Independent vector candidate with transparent background; remains docs-only; high-risk report/export affordance requires gating review before any active pilot.
report_generate,report.status.draft,result_report_export,docs/ui/icon_production/result_report_export/svg/report_generate.svg,docs/ui/icon_production/result_report_export/png/24/report_generate.png,docs/ui/icon_production/result_report_export/png/32/report_generate.png,docs/ui/icon_production/result_report_export/png/48/report_generate.png,docs/ui/icon_production/result_report_export/png/64/report_generate.png,docs/ui/icon_extraction/batch_01/result_report_export/report_generate_64_placeholder.png,true,false,false,true,high: report/export visual affordance may imply enabled formal result or report-ready package,passed_candidate_gated_affordance,Independent vector candidate with transparent background; remains docs-only; high-risk report/export affordance requires gating review before any active pilot.
report_template,report.status.draft,result_report_export,docs/ui/icon_production/result_report_export/svg/report_template.svg,docs/ui/icon_production/result_report_export/png/24/report_template.png,docs/ui/icon_production/result_report_export/png/32/report_template.png,docs/ui/icon_production/result_report_export/png/48/report_template.png,docs/ui/icon_production/result_report_export/png/64/report_template.png,docs/ui/icon_extraction/batch_01/result_report_export/report_template_64_placeholder.png,true,false,false,true,high: report/export visual affordance may imply enabled formal result or report-ready package,passed_candidate_gated_affordance,Independent vector candidate with transparent background; remains docs-only; high-risk report/export affordance requires gating review before any active pilot.
export_result,report.export_panel,result_report_export,docs/ui/icon_production/result_report_export/svg/export_result.svg,docs/ui/icon_production/result_report_export/png/24/export_result.png,docs/ui/icon_production/result_report_export/png/32/export_result.png,docs/ui/icon_production/result_report_export/png/48/export_result.png,docs/ui/icon_production/result_report_export/png/64/export_result.png,docs/ui/icon_extraction/batch_01/result_report_export/export_result_64_placeholder.png,true,false,false,true,high: report/export visual affordance may imply enabled formal result or report-ready package,passed_candidate_gated_affordance,Independent vector candidate with transparent background; remains docs-only; high-risk report/export affordance requires gating review before any active pilot.
export_pdf,report.export_panel,result_report_export,docs/ui/icon_production/result_report_export/svg/export_pdf.svg,docs/ui/icon_production/result_report_export/png/24/export_pdf.png,docs/ui/icon_production/result_report_export/png/32/export_pdf.png,docs/ui/icon_production/result_report_export/png/48/export_pdf.png,docs/ui/icon_production/result_report_export/png/64/export_pdf.png,docs/ui/icon_extraction/batch_01/result_report_export/export_pdf_64_placeholder.png,true,false,false,true,high: report/export visual affordance may imply enabled formal result or report-ready package,passed_candidate_gated_affordance,Independent vector candidate with transparent background; remains docs-only; high-risk report/export affordance requires gating review before any active pilot. Small format text is legible at 48/64 px but not suitable as the only cue at 24 px.
export_excel,export.format.xlsx,result_report_export,docs/ui/icon_production/result_report_export/svg/export_excel.svg,docs/ui/icon_production/result_report_export/png/24/export_excel.png,docs/ui/icon_production/result_report_export/png/32/export_excel.png,docs/ui/icon_production/result_report_export/png/48/export_excel.png,docs/ui/icon_production/result_report_export/png/64/export_excel.png,docs/ui/icon_extraction/batch_01/result_report_export/export_excel_64_placeholder.png,true,false,false,true,high: report/export visual affordance may imply enabled formal result or report-ready package,passed_candidate_gated_affordance,Independent vector candidate with transparent background; remains docs-only; high-risk report/export affordance requires gating review before any active pilot. Small format text is legible at 48/64 px but not suitable as the only cue at 24 px.
export_csv,export.format.csv,result_report_export,docs/ui/icon_production/result_report_export/svg/export_csv.svg,docs/ui/icon_production/result_report_export/png/24/export_csv.png,docs/ui/icon_production/result_report_export/png/32/export_csv.png,docs/ui/icon_production/result_report_export/png/48/export_csv.png,docs/ui/icon_production/result_report_export/png/64/export_csv.png,docs/ui/icon_extraction/batch_01/result_report_export/export_csv_64_placeholder.png,true,false,false,true,high: report/export visual affordance may imply enabled formal result or report-ready package,passed_candidate_gated_affordance,Independent vector candidate with transparent background; remains docs-only; high-risk report/export affordance requires gating review before any active pilot. Small format text is legible at 48/64 px but not suitable as the only cue at 24 px.
