resource_id,semantic_key,resource_family,target_future_path,placeholder_reference_path,required_final_svg_path,required_png_exports,replacement_priority,semantic_risk,replacement_ready,blocker_reason,semantic_reuse_reason,source_manifest,notes
module_bioinformatics,module.bioinformatics,modules,assets/icons/modules/module_bioinformatics.svg,docs/ui/icon_extraction/batch_01/modules/module_bioinformatics_64_placeholder.png,assets/icons/modules/module_bioinformatics.svg,assets/icons/modules/module_bioinformatics_24.png;assets/icons/modules/module_bioinformatics_32.png;assets/icons/modules/module_bioinformatics_48.png;assets/icons/modules/module_bioinformatics_64.png,P1,low: module navigation icon still requires final visual review before replacement,false,"Final SVG/vector redraw, light/dark QA, padding/stroke normalization, and focused loader test required before active replacement.",,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
module_meta_analysis,module.meta_analysis,modules,assets/icons/modules/module_meta_analysis.svg,docs/ui/icon_extraction/batch_01/modules/module_meta_analysis_64_placeholder.png,assets/icons/modules/module_meta_analysis.svg,assets/icons/modules/module_meta_analysis_24.png;assets/icons/modules/module_meta_analysis_32.png;assets/icons/modules/module_meta_analysis_48.png;assets/icons/modules/module_meta_analysis_64.png,P1,low: module navigation icon still requires final visual review before replacement,false,"Final SVG/vector redraw, light/dark QA, padding/stroke normalization, and focused loader test required before active replacement.",,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
module_labtools,module.labtools,modules,assets/icons/modules/module_labtools.svg,docs/ui/icon_extraction/batch_01/modules/module_labtools_64_placeholder.png,assets/icons/modules/module_labtools.svg,assets/icons/modules/module_labtools_24.png;assets/icons/modules/module_labtools_32.png;assets/icons/modules/module_labtools_48.png;assets/icons/modules/module_labtools_64.png,P1,low: module navigation icon still requires final visual review before replacement,false,"Final SVG/vector redraw, light/dark QA, padding/stroke normalization, and focused loader test required before active replacement.",,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
module_settings,module.settings,modules,assets/icons/modules/module_settings.svg,docs/ui/icon_extraction/batch_01/modules/module_settings_64_placeholder.png,assets/icons/modules/module_settings.svg,assets/icons/modules/module_settings_24.png;assets/icons/modules/module_settings_32.png;assets/icons/modules/module_settings_48.png;assets/icons/modules/module_settings_64.png,P1,low: module navigation icon still requires final visual review before replacement,false,"Final SVG/vector redraw, light/dark QA, padding/stroke normalization, and focused loader test required before active replacement.",,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
status_testing,feature.status.testing,status,assets/icons/status/status_testing.svg,docs/ui/icon_extraction/batch_01/status/status_testing_64_placeholder.png,assets/icons/status/status_testing.svg,assets/icons/status/status_testing_24.png;assets/icons/status/status_testing_32.png;assets/icons/status/status_testing_48.png;assets/icons/status/status_testing_64.png,P4,high: status icon may visually overstate testing/planned/shell-only/developer-preview/blocked/preflight/draft semantics,false,P4 semantic status review required; final icon must not imply completed or production-ready state.,,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
status_planned,feature.status.planned,status,assets/icons/status/status_planned.svg,docs/ui/icon_extraction/batch_01/status/status_planned_64_placeholder.png,assets/icons/status/status_planned.svg,assets/icons/status/status_planned_24.png;assets/icons/status/status_planned_32.png;assets/icons/status/status_planned_48.png;assets/icons/status/status_planned_64.png,P4,high: status icon may visually overstate testing/planned/shell-only/developer-preview/blocked/preflight/draft semantics,false,P4 semantic status review required; final icon must not imply completed or production-ready state.,,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
status_shell_only,feature.status.shell_only,status,assets/icons/status/status_shell_only.svg,docs/ui/icon_extraction/batch_01/status/status_shell_only_64_placeholder.png,assets/icons/status/status_shell_only.svg,assets/icons/status/status_shell_only_24.png;assets/icons/status/status_shell_only_32.png;assets/icons/status/status_shell_only_48.png;assets/icons/status/status_shell_only_64.png,P4,high: status icon may visually overstate testing/planned/shell-only/developer-preview/blocked/preflight/draft semantics,false,P4 semantic status review required; final icon must not imply completed or production-ready state.,Shared by status badge icon and shell-only empty-state illustration for the same shell-only semantic state.,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
status_developer_preview,feature.status.developer_preview,status,assets/icons/status/status_developer_preview.svg,docs/ui/icon_extraction/batch_01/status/status_developer_preview_64_placeholder.png,assets/icons/status/status_developer_preview.svg,assets/icons/status/status_developer_preview_24.png;assets/icons/status/status_developer_preview_32.png;assets/icons/status/status_developer_preview_48.png;assets/icons/status/status_developer_preview_64.png,P4,high: status icon may visually overstate testing/planned/shell-only/developer-preview/blocked/preflight/draft semantics,false,P4 semantic status review required; final icon must not imply completed or production-ready state.,,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
status_blocked,feature.status.blocked,status,assets/icons/status/status_blocked.svg,docs/ui/icon_extraction/batch_01/status/status_blocked_64_placeholder.png,assets/icons/status/status_blocked.svg,assets/icons/status/status_blocked_24.png;assets/icons/status/status_blocked_32.png;assets/icons/status/status_blocked_48.png;assets/icons/status/status_blocked_64.png,P4,high: status icon may visually overstate testing/planned/shell-only/developer-preview/blocked/preflight/draft semantics,false,P4 semantic status review required; final icon must not imply completed or production-ready state.,Shared by status badge icon and blocked empty-state illustration for the same blocked semantic state.,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
status_available,resource.status.available,status,assets/icons/status/status_available.svg,docs/ui/icon_extraction/batch_01/status/status_available_64_placeholder.png,assets/icons/status/status_available.svg,assets/icons/status/status_available_24.png;assets/icons/status/status_available_32.png;assets/icons/status/status_available_48.png;assets/icons/status/status_available_64.png,P4,high: status icon may visually overstate testing/planned/shell-only/developer-preview/blocked/preflight/draft semantics,false,P4 semantic status review required; final icon must not imply completed or production-ready state.,,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
