screenshot_id,module,page_name,baseline_path,current_path,page_opened,layout_issue_remaining,misleading_enabled_button_seen,formal_result_report_export_seen,ui_b10_ready,notes
dashboard_home,Dashboard,Dashboard / 工作台,docs/ui/runtime_screenshots/20260525_c5g_runtime_review/dashboard_home.png,docs/ui/runtime_screenshots/20260526_d6_runtime_review/dashboard_home.png,true,true,false,false,false,Dashboard now reflects D2 shared shell work; still needs human visual acceptance.
labtools_home,LabTools,LabTools 首页,docs/ui/runtime_screenshots/20260525_c5g_runtime_review/labtools_home.png,docs/ui/runtime_screenshots/20260526_d6_runtime_review/labtools_home.png,true,false,false,false,false,Three-entry IA remains stable after D3.
labtools_general_calculator,LabTools,通用计算器,docs/ui/runtime_screenshots/20260525_c5g_runtime_review/labtools_general_calculator.png,docs/ui/runtime_screenshots/20260526_d6_runtime_review/labtools_general_calculator.png,true,true,false,false,false,Calculator remains usable but dense.
labtools_reagent_preparation,LabTools,试剂制备,docs/ui/runtime_screenshots/20260525_c5g_runtime_review/labtools_reagent_preparation.png,docs/ui/runtime_screenshots/20260526_d6_runtime_review/labtools_reagent_preparation.png,true,true,false,false,false,D3 shared list/form/preview workbench reduces layout fragility; still dense.
labtools_wb_loading,LabTools,WB Loading,docs/ui/runtime_screenshots/20260525_c5g_runtime_review/labtools_wb_loading.png,docs/ui/runtime_screenshots/20260526_d6_runtime_review/labtools_wb_loading.png,true,true,false,false,false,D3 shared three-column workbench and preview card are visible; warning-heavy page still needs review.
labtools_experiment_boundaries,LabTools,实验模块边界页,docs/ui/runtime_screenshots/20260525_c5g_runtime_review/labtools_experiment_boundaries.png,docs/ui/runtime_screenshots/20260526_d6_runtime_review/labtools_experiment_boundaries.png,true,false,false,false,false,Boundary page keeps disabled/shell-only semantics.
bioinformatics_project_home,Bioinformatics,Project Home / 项目首页,docs/ui/runtime_screenshots/20260525_c5g_runtime_review/bioinformatics_project_home.png,docs/ui/runtime_screenshots/20260526_d6_runtime_review/bioinformatics_project_home.png,true,false,false,false,false,D4 Bio workflow shell remains gated.
bioinformatics_data_source,Bioinformatics,Data Source / 数据来源,docs/ui/runtime_screenshots/20260525_c5g_runtime_review/bioinformatics_data_source.png,docs/ui/runtime_screenshots/20260526_d6_runtime_review/bioinformatics_data_source.png,true,false,false,false,false,Data source page remains gated; no formal acquisition executor enabled.
bioinformatics_analysis_tasks,Bioinformatics,Analysis Tasks / 分析任务,docs/ui/runtime_screenshots/20260525_c5g_runtime_review/bioinformatics_analysis_tasks.png,docs/ui/runtime_screenshots/20260526_d6_runtime_review/bioinformatics_analysis_tasks.png,true,true,false,false,false,D4 plot placeholder and horizontal table behavior visible; table-heavy page remains review risk.
bioinformatics_result_export,Bioinformatics,Report Export / 报告导出,docs/ui/runtime_screenshots/20260525_c5g_runtime_review/bioinformatics_result_export.png,docs/ui/runtime_screenshots/20260526_d6_runtime_review/bioinformatics_result_export.png,true,false,false,false,false,D4 export gate panel is visible; report/export stays disabled.
meta_project_home,Meta Analysis,Meta Project Home,docs/ui/runtime_screenshots/20260525_c5g_runtime_review/meta_project_home.png,docs/ui/runtime_screenshots/20260526_d6_runtime_review/meta_project_home.png,true,false,false,false,false,D5 shared workflow stepper is visible in Meta shell.
meta_question_type,Meta Analysis,Question & Meta Type,docs/ui/runtime_screenshots/20260525_c5g_runtime_review/meta_question_type.png,docs/ui/runtime_screenshots/20260526_d6_runtime_review/meta_question_type.png,true,false,false,false,false,Network Meta remains planned/disabled; active types remain schema shell.
meta_search_strategy,Meta Analysis,Search Strategy,docs/ui/runtime_screenshots/20260525_c5g_runtime_review/meta_search_strategy.png,docs/ui/runtime_screenshots/20260526_d6_runtime_review/meta_search_strategy.png,true,false,false,false,false,English-first draft search page renders; no direct Chinese database retrieval.
meta_screening_extraction,Meta Analysis,Screening / Extraction representative,docs/ui/runtime_screenshots/20260525_c5g_runtime_review/meta_screening_extraction.png,docs/ui/runtime_screenshots/20260526_d6_runtime_review/meta_screening_extraction.png,true,true,false,false,false,D5 extraction table is visible; page remains dense and draft-only.
meta_result_export,Meta Analysis,Result / Export Gate,docs/ui/runtime_screenshots/20260525_c5g_runtime_review/meta_result_export.png,docs/ui/runtime_screenshots/20260526_d6_runtime_review/meta_result_export.png,true,false,false,false,false,"D5 export gate panel is visible; no pooled effects, forest plot output, or export enabled."
settings_home,Settings,Settings / 设置中心,docs/ui/runtime_screenshots/20260525_c5g_runtime_review/settings_home.png,docs/ui/runtime_screenshots/20260526_d6_runtime_review/settings_home.png,true,false,false,false,false,Settings remains detect-first with disabled install/cloud actions.
