term_id,source,bucket,term_en,term_type,parent_term,field_name,field_value,entity_scope,access_scope,display_label_en,notes,priority,is_active
shared.entity.projects,shared,source_entities,projects,entity,,project_id,,projects,mixed,Projects,Core source entity used for structured browsing and retrieval.,10,true
shared.entity.cases,shared,source_entities,cases,entity,,case_id,,cases,mixed,Cases,Core source entity used for structured browsing and retrieval.,20,true
shared.entity.files,shared,source_entities,files,entity,,file_id,,files,mixed,Files,Core source entity used for structured browsing and retrieval.,30,true
tcga_gdc.entity.annotations,tcga_gdc,source_entities,annotations,entity,,annotation_id,,annotations,mixed,Annotations,Core source entity used for structured browsing and retrieval.,40,true
gtex.entity.tissue,gtex,source_entities,tissue,entity,,tissue,,tissue,open,Tissue,Core source entity used for structured browsing and retrieval.,50,true
gtex.entity.dataset,gtex,source_entities,dataset,entity,,dataset,,dataset,open,Dataset,Core source entity used for structured browsing and retrieval.,60,true
gtex.entity.sample_attributes,gtex,source_entities,sample attributes,entity,,sample_attributes,,samples,open,Sample Attributes,Core source entity used for structured browsing and retrieval.,70,true
gtex.entity.subject_phenotypes,gtex,source_entities,subject phenotypes,entity,,subject_phenotypes,,cases,open,Subject Phenotypes,Core source entity used for structured browsing and retrieval.,80,true
gtex.entity.gene_expression,gtex,source_entities,gene expression,entity,,gene_expression,,dataset,open,Gene Expression,Core source entity used for structured browsing and retrieval.,90,true
gtex.entity.eqtl,gtex,source_entities,eQTL,entity,,eqtl,,dataset,open,eQTL,Core source entity used for structured browsing and retrieval.,100,true
gtex.entity.sqtl,gtex,source_entities,sQTL,entity,,sqtl,,dataset,open,sQTL,Core source entity used for structured browsing and retrieval.,110,true
tcga_gdc.field.project_id,tcga_gdc,disease_or_project_terms,project_id,field,shared.entity.projects,project.project_id,,projects,mixed,Project ID,Core structured TCGA/GDC field retained for mapping and filter routing.,120,true
tcga_gdc.field.name,tcga_gdc,disease_or_project_terms,name,field,shared.entity.projects,project.name,,projects,mixed,Project Name,Core structured TCGA/GDC field retained for mapping and filter routing.,130,true
tcga_gdc.field.disease_type,tcga_gdc,disease_or_project_terms,disease_type,field,shared.entity.projects,project.disease_type,,projects,mixed,Disease Type,Core structured TCGA/GDC field retained for mapping and filter routing.,140,true
tcga_gdc.field.primary_site,tcga_gdc,disease_or_project_terms,primary_site,field,shared.entity.cases,cases.primary_site,,cases,mixed,Primary Site,Core structured TCGA/GDC field retained for mapping and filter routing.,150,true
tcga_gdc.field.state,tcga_gdc,access_and_mode_terms,state,field,shared.entity.files,files.state,,files,mixed,State,Core structured TCGA/GDC field retained for mapping and filter routing.,160,true
tcga_gdc.field.sample_type,tcga_gdc,sample_terms,sample_type,field,shared.entity.cases,cases.samples.sample_type,,samples,mixed,Sample Type,Core structured TCGA/GDC field retained for mapping and filter routing.,170,true
tcga_gdc.field.tissue_type,tcga_gdc,sample_terms,tissue_type,field,shared.entity.cases,cases.samples.tissue_type,,samples,mixed,Tissue Type,Core structured TCGA/GDC field retained for mapping and filter routing.,180,true
tcga_gdc.field.tumor_descriptor,tcga_gdc,sample_terms,tumor_descriptor,field,shared.entity.cases,cases.samples.tumor_descriptor,,samples,mixed,Tumor Descriptor,Core structured TCGA/GDC field retained for mapping and filter routing.,190,true
tcga_gdc.field.data_category,tcga_gdc,data_terms,data_category,field,shared.entity.files,files.data_category,,files,mixed,Data Category,Core structured TCGA/GDC field retained for mapping and filter routing.,200,true
tcga_gdc.field.data_type,tcga_gdc,data_terms,data_type,field,shared.entity.files,files.data_type,,files,mixed,Data Type,Core structured TCGA/GDC field retained for mapping and filter routing.,210,true
tcga_gdc.field.experimental_strategy,tcga_gdc,data_terms,experimental_strategy,field,shared.entity.files,files.experimental_strategy,,files,mixed,Experimental Strategy,Core structured TCGA/GDC field retained for mapping and filter routing.,220,true
tcga_gdc.field.workflow_type,tcga_gdc,data_terms,workflow_type,field,shared.entity.files,files.analysis.workflow_type,,files,mixed,Workflow Type,Core structured TCGA/GDC field retained for mapping and filter routing.,230,true
tcga_gdc.field.access,tcga_gdc,data_terms,access,field,shared.entity.files,files.access,,files,mixed,Access,Core structured TCGA/GDC field retained for mapping and filter routing.,240,true
tcga_gdc.field.access_level,tcga_gdc,data_terms,access_level,field,shared.entity.files,access,,files,mixed,Access Level,Core structured TCGA/GDC field retained for mapping and filter routing.,250,true
tcga_gdc.mode.released,tcga_gdc,access_and_mode_terms,released,value,,files.state,released,files,open,Released,Common TCGA/GDC file lifecycle state.,260,true
shared.access.open,shared,access_and_mode_terms,open,concept,,access,open,files,open,Open,Access or release concept kept for cross-source navigation.,270,true
shared.access.controlled,shared,access_and_mode_terms,controlled,concept,,access,controlled,files,controlled,Controlled,Access or release concept kept for cross-source navigation.,280,true
gtex.access.open_access,gtex,access_and_mode_terms,open access,concept,,access,open access,dataset,open,Open Access,Access or release concept kept for cross-source navigation.,290,true
gtex.access.protected,gtex,access_and_mode_terms,protected,concept,,access,protected,dataset,protected,Protected,Access or release concept kept for cross-source navigation.,300,true
gtex.access.release,gtex,access_and_mode_terms,release,concept,,release,release,dataset,open,Release,Access or release concept kept for cross-source navigation.,310,true
tcga_gdc.sample_type.primary_tumor,tcga_gdc,sample_terms,primary tumor,value,tcga_gdc.field.sample_type,cases.samples.sample_type,Primary Tumor,samples,open,Primary Tumor,High-value TCGA/GDC sample type value.,320,true
tcga_gdc.sample_type.recurrent_tumor,tcga_gdc,sample_terms,recurrent tumor,value,tcga_gdc.field.sample_type,cases.samples.sample_type,Recurrent Tumor,samples,open,Recurrent Tumor,High-value TCGA/GDC sample type value.,330,true
tcga_gdc.sample_type.metastatic,tcga_gdc,sample_terms,metastatic,value,tcga_gdc.field.sample_type,cases.samples.sample_type,Metastatic,samples,open,Metastatic,High-value TCGA/GDC sample type value.,340,true
tcga_gdc.sample_type.additional_new_primary,tcga_gdc,sample_terms,additional - new primary,value,tcga_gdc.field.sample_type,cases.samples.sample_type,Additional - New Primary,samples,open,Additional - New Primary,High-value TCGA/GDC sample type value.,350,true
tcga_gdc.sample_type.additional_metastatic,tcga_gdc,sample_terms,additional metastatic,value,tcga_gdc.field.sample_type,cases.samples.sample_type,Additional Metastatic,samples,open,Additional Metastatic,High-value TCGA/GDC sample type value.,360,true
