resource_id,semantic_key,resource_family,source_candidate_svg,active_asset_path,active_pilot,replacement_ready,replacement_state,must_preserve_label,must_preserve_status_chip,must_preserve_tooltip,must_preserve_status_logic,active_usage_rule,notes
status_testing,feature.status.testing,status,docs/ui/icon_production/status/svg/status_testing.svg,assets/icons/status/status_testing.svg,true,pilot_only,pilot_only,true,true,true,true,status_chip_auxiliary_marker_only,"Text label, tooltip, statusKey, semanticKey, and testing-level status remain authoritative."
status_planned,feature.status.planned,status,docs/ui/icon_production/status/svg/status_planned.svg,assets/icons/status/status_planned.svg,true,pilot_only,pilot_only,true,true,true,true,status_chip_auxiliary_marker_only,"Text label, tooltip, statusKey, semanticKey, and planned/not-runnable status remain authoritative."
status_shell_only,feature.status.shell_only,status,docs/ui/icon_production/status/svg/status_shell_only.svg,assets/icons/status/status_shell_only.svg,true,pilot_only,pilot_only,true,true,true,true,status_chip_auxiliary_marker_only,"Text label, tooltip, statusKey, semanticKey, and shell-only status remain authoritative."
status_developer_preview,feature.status.developer_preview,status,docs/ui/icon_production/status/svg/status_developer_preview.svg,assets/icons/status/status_developer_preview.svg,true,pilot_only,pilot_only,true,true,true,true,status_chip_auxiliary_marker_only,"Text label, tooltip, statusKey, semanticKey, and Developer Preview status remain authoritative."
status_blocked,feature.status.blocked,status,docs/ui/icon_production/status/svg/status_blocked.svg,assets/icons/status/status_blocked.svg,true,pilot_only,pilot_only,true,true,true,true,status_chip_auxiliary_marker_only,"Text label, tooltip, statusKey, semanticKey, and blocked gate remain authoritative."
status_available,resource.status.available,status,docs/ui/icon_production/status/svg/status_available.svg,assets/icons/status/status_available.svg,true,pilot_only,pilot_only,true,true,true,true,only_after_confirmed_resource_status_available,"Shown only when the existing runtime status is already resource.status.available; does not install, configure, connect, or enable any resource."
status_not_configured,resource.status.not_configured,status,docs/ui/icon_production/status/svg/status_not_configured.svg,assets/icons/status/status_not_configured.svg,true,pilot_only,pilot_only,true,true,true,true,status_chip_auxiliary_marker_only,"Text label, tooltip, statusKey, semanticKey, and not-configured resource state remain authoritative."
status_failed,resource.status.failed,status,docs/ui/icon_production/status/svg/status_failed.svg,assets/icons/status/status_failed.svg,true,pilot_only,pilot_only,true,true,true,true,status_chip_auxiliary_marker_only,"Text label, tooltip, statusKey, semanticKey, and failed resource check state remain authoritative."
status_preflight_only,analysis.status.preflight_only,status,docs/ui/icon_production/status/svg/status_preflight_only.svg,assets/icons/status/status_preflight_only.svg,true,pilot_only,pilot_only,true,true,true,true,status_chip_auxiliary_marker_only,"Text label, tooltip, statusKey, semanticKey, and preflight-only analysis gate remain authoritative."
status_draft,report.status.draft,status,docs/ui/icon_production/status/svg/status_draft.svg,assets/icons/status/status_draft.svg,true,pilot_only,pilot_only,true,true,true,true,status_chip_auxiliary_marker_only,"Text label, tooltip, statusKey, semanticKey, and draft/report-not-ready gate remain authoritative."
