screen_id,screen_name_zh,screen_name_en,current_ui_status,backend_capability,mockup_priority,implementation_priority,allowed_actions,disabled_actions,gate_semantics,must_not_claim,notes
META-001,项目首页,Meta Project Home,"target IA shell / mainline project shell","Meta project manifest open/create shell; current mainline does not host full workflow runtime",P0,P1,"open/create project shell; view workflow overview; view testing/developer preview state","run search; import records; run screening; run statistics; generate report; export","feature.status.shell_only; developer_preview; result.semantic.testing_summary_only","production systematic review; publication-ready workflow; clinical/regulatory evidence product","Mockup should show project summary, workflow progress, blockers, recent activity placeholders, and clear testing boundary."
META-002,研究问题与 Meta 类型,Question & Meta Type Selection,"target IA shell with 10 active type cards","active Data Extraction Schema Registry v1 represented in UI; Network Meta planned disabled",P0,P0,"enter Chinese/English research question; draft PICO/PECO/PICOS; select one of 10 active Meta types","Network Meta activation; auto-final protocol; auto conclusion","feature.status.testing; schema_shell; AI suggestion review-only","Network Meta available; type selection is only a tag; AI writes final question","Mockup should emphasize type selection as workflow control for extraction, quality assessment, statistics, and report template."
META-003,检索策略构建,Search Strategy Builder,"testing shell / target IA page","Search strategy draft services exist in Meta docs; mainline shell is non-executing",P0,P0,"draft English search strategy; preview PubMed query; copy strategy; mark reviewer review needed","run Chinese database search; direct CNKI/WanFang/VIP online retrieval; auto import; auto PRISMA update","feature.status.testing; English-only processing; user review required","Chinese database direct retrieval; automatic search conclusion; production search coverage","Chinese UI can help generate English query text, but database execution and import are gated."
META-004,文献导入与文献管理,Import / Reference Management,"testing shell / target IA page","normalized literature import exists in testing docs; mainline shell should stay gated",P0,P1,"show import source options; show reference table mock data; review dedup queue; copy/import plan","real file import in mockup; auto dedup merge; delete source records; auto screening start","feature.status.testing; manual review; dedup pending review","automatic deduplication; production library; Chinese DB online import","Mockup can show RIS/NBIB/CSV rows and duplicate groups as non-production sample data."
META-005,去重,Deduplication,"testing shell / often paired with import management","duplicate review v2 exists as testing workflow in docs",P0,P1,"review duplicate risk groups; select keep/merge preview; mark manual decision draft","auto delete/merge; update PRISMA counts; move to screening automatically","feature.status.testing; reviewer decision required","silent dedup merge; automatic final library","Can be a right panel or tab in Import / Reference Management mockup."
META-006,文献筛选,Screening Workspace,"testing shell / target IA page","title/abstract screening v2 testing workflow exists in docs",P0,P1,"mark include/exclude/uncertain as draft; view exclusion reasons; view AI suggestion as advisory","AI auto exclusion; final multi-reviewer adjudication; PRISMA final counts; automatic full-text decisions","feature.status.testing; manual review; AI suggestion advisory","AI suggestion as automatic conclusion; final screening complete","Mockup must keep reviewer as authority and show exclusion reason library as suggestion/support."
META-007,全文与数据提取,Full-text / Extraction,"testing shell with C1 concept tabs","full-text management and manual extraction UI are testing-level in docs; mainline shell exposes tab structure",P0,P1,"manage full-text status; design type-specific extraction form; confirm entry to extraction stage; view completion check/history","Chinese PDF extraction; automatic PDF table extraction; auto final extraction; generic drag-drop field library","feature.status.testing; manual extraction; schema-specific; no auto conclusion","automatic extraction; OCR-ready Chinese PDF workflow; production extraction record","Tabs must be: 全文管理, 提取表设计, 提取完成核查, 历史记录. No standalone 数据提取 tab."
META-008,质量评价,Risk of Bias,"planned shell","quality assessment framework exists as testing docs; mainline target IA marks planned",P1,P3,"select suggested tool; view domain table; record draft judgement; show missing blocker","automatic ROB/GRADE final judgement; multi-reviewer adjudication; production evidence certainty","feature.status.planned; reviewer completion required; suggestion-only","automated risk-of-bias conclusion; final GRADE certainty","Mockup should vary tool by Meta type and show incomplete quality assessment as blocker."
META-009,Pairwise Meta 输入,Pairwise Meta Input,"planned/testing boundary","statistics engine v2 exists in testing docs; mainline shell must not execute",P1,P2,"review effect-size table; validate analysis input package; preflight checks","run pooled effect; run Network Meta; create formal result; generate forest plot","feature.status.planned; preflight/testing boundary; no formal executor","formal statistics ready; Network Meta active; production pooled estimate","Mockup can show effect rows and model selection disabled/gated."
META-010,结果审查,Result Review,"shell-only / shared result report export shell","shared result/report/export shell available; formal results are not active in mainline",P0,P2,"view testing result boundary; acknowledge limitations; review blockers","accept formal result; generate plot; add to final report; publish conclusion","result.semantic.testing_summary_only; report.status.draft; export disabled","formal pooled effect; production interpretation; clinical recommendation","Pair this with report-ready gate in prompt pack."
