sequence,batch,scope_area,source_commits_or_files,integration_target,carryover_method,conflict_risk,preconditions,verification_gate,hold_condition,notes
1,Batch 0,Local branch freeze,"dev/integration HEAD ea57a49","Integration worktree",Create local branch only after user proceeds,Low,Integration worktree clean,"git status --short","Uncommitted target changes appear","No push; no package; no packaged app"
2,Batch 1,Semantic key registry,"b494c51; f11aacd; app/shared/semantic_keys.py","app/shared/semantic_keys.py",Manual reconcile or add if absent,Medium,Branch freeze complete,"python3 -m pytest -q tests/shared/test_semantic_keys.py","Enum values weaken status semantics","Keep full semantic keys for feature/status/resource/analysis/report/result"
3,Batch 1,Shared UI primitives,"d2c6c92; app/shared/ui_components/primitives.py","app/shared/ui_components/primitives.py",Manual add/reconcile,Medium,Semantic keys available,"python3 -m pytest -q tests/ui/test_ui_primitives.py","Status chip loses label or tooltip","Status icons are auxiliary; labels remain authoritative"
4,Batch 1,Shared UI exports,"app/shared/ui_components/__init__.py","app/shared/ui_components/__init__.py",Manual reconcile,Low,Primitives reconciled,"python3 -m pytest -q tests/ui/test_ui_primitives.py","Import cycles or missing exports","Keep Integration shared modules intact"
5,Batch 2,Icon loader registry,"e3e5549; e82a2a9; f511f45; app/app_identity.py","app/app_identity.py",Manual reconcile,Medium,Semantic keys available,"python3 -m pytest -q tests/ui/test_app_identity.py","App icon or Info.plist paths touched","Only non-App icon/illustration loaders"
6,Batch 2,Module icons,"assets/icons/modules/**","assets/icons/modules/**",Copy active non-App assets,Low,Icon loader registry reconciled,"python3 -m pytest -q tests/ui/test_p1_module_icon_active_pilot.py","App icon files included","Four module icons only; no App icon"
7,Batch 2,LabTools icons,"assets/icons/labtools/**","assets/icons/labtools/**",Copy active non-App assets,Low,Icon loader registry reconciled,"python3 -m pytest -q tests/ui/test_p1_labtools_icon_active_pilot.py","ImageJ/Fiji becomes LabTools first-level entry","Icons do not change IA"
8,Batch 2,Status icons,"assets/icons/status/**","assets/icons/status/**",Copy active status assets after gating checks,Medium,Status chip semantics reconciled,"python3 -m pytest -q tests/ui/test_status_icon_active_pilot.py","status_available used outside resource.status.available","Text/statusKey remains source of truth"
9,Batch 2,Empty state illustrations,"assets/images/empty_states/**","assets/images/empty_states/**",Copy active non-App illustrations,Low,empty state loader reconciled,"python3 -m pytest -q tests/ui/test_empty_state_active_pilot.py","empty_result changes result semantics","Illustrations do not change result/report/export gates"
10,Batch 2,Result Report Export marker icons,"assets/icons/result_report_export/**","assets/icons/result_report_export/**",Copy only five allowed marker/helper icons,Medium,gating manifest honored,"python3 -m pytest -q tests/ui/test_result_report_export_icon_active_pilot.py","export/report action icons copied as active","Do not activate report_generate/export/share icons"
11,Batch 2,Settings resource icons,"assets/icons/settings/resources/**","assets/icons/settings/resources/**",Copy only if Settings resource loader is reconciled,Medium,External engine manager route preserved,"python3 -m pytest -q tests/ui/test_p2_settings_resource_icon_active_pilot.py tests/ui/test_settings_shell.py","Icons imply installed/enabled cloud/model/OCR","Resource icons are category markers only"
12,Batch 3,LabTools runtime bridge,"ca006ee; f18b9a0; a33cffe; app/labtools_runtime.py","app/labtools_runtime.py",Add source file with target import check,Medium,Shared foundation available,"python3 -m pytest -q tests/ui/test_labtools_general_calculator_ui.py","Any default store or ~/.labtools write appears","Bridge must stay read-only/no-store"
13,Batch 4,LabTools route architecture,"3bf79f4; app/shell/main_window.py LabTools sections","app/labtools/workspace.py or Integration-owned LabTools UI module",Manual extraction,High,Runtime bridge present,"python3 -m pytest -q tests/ui/test_labtools_navigation_shell.py tests/ui/test_labtools_shell.py","Integration main_window is overwritten","Prefer keeping main_window as route orchestrator"
14,Batch 4,Integration main window reconciliation,"app/shell/main_window.py","app/shell/main_window.py",Manual merge only,High,LabTools UI module prepared,"python3 -m app.main --smoke-test","ExternalEngineManagerPage/Bio/Meta routes removed","Preserve Integration Bio/Meta/Settings/external engine surfaces"
15,Batch 5,General Calculator UI,"ca006ee","LabTools General Calculator route",Manual port into reconciled LabTools workspace,Medium,Navigation shell passes,"python3 -m pytest -q tests/ui/test_labtools_general_calculator_ui.py","Save history/export becomes active","Copy result allowed; no record store"
16,Batch 6,Reagent Preparation UI,"f18b9a0","LabTools Reagent Preparation route",Manual port into reconciled LabTools workspace,Medium,General Calculator passes,"python3 -m pytest -q tests/ui/test_labtools_reagent_preparation_ui.py","Template/preparation save or export becomes active","PBS demo preview only; no inventory/cloud/batch"
17,Batch 7,WB Loading UI,"a33cffe","LabTools Experiment Modules protein route",Manual port into reconciled LabTools workspace,Medium,Reagent tests pass,"python3 -m pytest -q tests/ui/test_labtools_wb_loading_ui.py","Fake gel bands/image analysis/antibody recommendation appears","Lane preview only; copy table allowed"
18,Batch 8,Boundary pages,"00f4ec6","LabTools Experiment Modules boundary routes",Manual port into reconciled LabTools workspace,Medium,WB tests pass,"python3 -m pytest -q tests/ui/test_labtools_boundary_pages.py","ELISA/ImageJ/Fiji/cell records become active","Boundary shells only; no runner/store/backend"
19,Batch 9,Focused LabTools regression,"tests/ui/test_labtools_*.py","tests/ui/**",Copy/reconcile tests after UI routes stable,Medium,Runtime pages reconciled,"python3 -m pytest -q tests/ui/test_labtools_boundary_pages.py tests/ui/test_labtools_wb_loading_ui.py tests/ui/test_labtools_reagent_preparation_ui.py tests/ui/test_labtools_general_calculator_ui.py tests/ui/test_labtools_navigation_shell.py tests/ui/test_labtools_shell.py","Tests weakened to allow forbidden states","Adjust selectors only for Integration architecture"
20,Batch 9,Shared shell regression,"tests/ui/test_module_selection.py; tests/ui/test_sidebar.py; tests/ui/test_settings_shell.py; tests/shared/test_semantic_keys.py","tests/ui and tests/shared",Run after carry-over,Low,Focused LabTools tests pass,"python3 -m pytest -q tests/ui/test_module_selection.py tests/ui/test_sidebar.py tests/ui/test_settings_shell.py tests/shared/test_semantic_keys.py","Bio/Meta/Settings route regression appears","Catches Integration route preservation issues"
21,Batch 9,Smoke and diff checks,"app.main smoke; git checks","Integration carry-over branch",Run only after local implementation,Low,All focused tests pass,"python3 -m app.main --smoke-test; git diff --check; git diff --cached --check","Packaged app or package smoke requested inside this stage","No package smoke; no packaged app until a later packaging stage"
22,Deferred,UI-B10 packaging/icon scope,"App icon; Finder icon; .icns; iconset; Info.plist; LaunchServices","Deferred UI-B10",Do not touch,High,Separate UI-B10 request,"Not applicable","Any App icon or packaging metadata enters carry-over","Keep deferred until UI-B10"
