page_key,page_name,runtime_ui_status,allowed_actions,disabled_actions,result_semantic,report_status,export_gate,executor_connected,file_write_allowed,notes
project_home,Project Home / 项目首页,gated_shell,"view workflow overview; navigate to next target IA page","formal result; report-ready; export","no_formal_result","report.status.draft","disabled_empty_result",false,false,"C2b implemented project summary and workflow overview; no result/report/export enabled."
question_meta_type,Question & Meta Type / 研究问题与 Meta 类型,gated_draft,"edit/view draft question; view PICO/PECO draft; choose draft Meta type shell; navigate to Search Strategy","Network Meta; final protocol confirmation; search execution","no_formal_result","report.status.draft","disabled_empty_result",false,false,"C2b preserved 10 active type registry; Network Meta remains planned_disabled."
search_strategy,Search Strategy / 检索策略,gated_draft,"view English term groups; view Boolean draft; copy query; select database draft scope","run search; Chinese database direct retrieval; save draft without adapter","no_formal_result","report.status.draft","disabled_empty_result",false,false,"C2c keeps PubMed/Embase/Web of Science as draft scope only; no CNKI/WanFang/VIP action."
import_dedup,Import / Reference Management / Deduplication,gated_preview,"view import source cards; view reference table preview; view duplicate risk preview","real file import; auto merge; auto delete; send to screening","no_formal_result","report.status.draft","disabled_empty_result",false,false,"C2c import cards are adapter_needed and deduplication is reviewer-review preview only."
screening,Screening / 文献筛选,gated_draft,"draft include/exclude/uncertain/need full text decisions; save draft decision","AI final decision; final included studies; final PRISMA counts","no_formal_result","report.status.draft","disabled_empty_result",false,false,"C2d counts are draft counts and AI suggestion is advisory-only."
fulltext_extraction,Full-text & Extraction / 全文与数据提取,gated_draft,"view full-text status; design/view extraction draft fields","Chinese PDF extraction; PDF OCR/table extraction; automatic extraction; mark final extracted","no_formal_result","report.status.draft","disabled_empty_result",false,false,"C2d preserves four tabs and marks effect/CI fields mockup-only draft extraction."
quality_assessment,Risk of Bias / 质量评价,gated_preview,"view NOS/ROBINS-I/QUADAS-2 preview domains","automatic RoB judgement; formal quality score; save final RoB","no_formal_result","report.status.draft","disabled_empty_result",false,false,"C2d shows draft/in-progress preview only."
analysis_tasks,Meta Analysis Tasks / 统计分析,planned_disabled,"view target IA page selection only","Pairwise Meta executor; Network Meta; pooled effects; plots","no_formal_result","report.status.draft","disabled_empty_result",false,false,"No C2 runtime executor page enabled; statistical execution remains future/planned."
result_report,Result Review + Report-ready Gate / 结果复核与报告门控,gated_gate_preview,"view result readiness summary; view draft pairwise input preview; view report-ready blocker checklist","Pairwise executor; formal pooled effect; forest plot; heterogeneity; publication bias; Generate Report","testing_summary_only / no_formal_result","report.status.draft","disabled_empty_result",false,false,"C2e result review is gate preview only; report_ready blocked."
report_export,Report Export / 报告导出,gated_gate_preview,"view export gate reasons","DOCX export; HTML export; PDF export; CSV export; XLSX export; ZIP export; file write","no_formal_result","report.status.draft","disabled_empty_result",false,false,"C2e all format buttons disabled and fileWriteAllowed=false."
meta_settings,Meta Settings / Meta 设置,auxiliary_shell,"view target IA settings entry","resource mutation; executor enablement; report/export enablement","no_formal_result","report.status.draft","disabled_empty_result",false,false,"Auxiliary IA entry remains shell-only; no Meta executor or external capability is enabled by C2b-C2e."
