resource_id,semantic_key,candidate_svg_path,gating_decision,pilot_allowed,active_usage_allowed,allowed_surface,required_label,required_tooltip,disabled_state_required,must_preserve_gate,blocker_reason,notes
result_overview,result.semantic.testing_summary_only,docs/ui/icon_production/result_report_export/svg/result_overview.svg,pilot_allowed,true,true,page_region_marker_only,Result overview / 结果概览,Testing summary only; no formal result available.,true,true,Allowed only as marker/helper in disabled or gated Result / Report / Export surfaces.,"Gating review only; does not change exportGate, reportStatusKey, resultSemanticKey, active assets, or active loader."
result_chart,result.semantic.testing_summary_only,docs/ui/icon_production/result_report_export/svg/result_chart.svg,disabled_affordance_only,false,false,future_chart_placeholder_only,Result chart / 结果图表,Disabled chart placeholder only; no fake plot or formal chart.,true,true,"High risk of implying formal result, fake chart/statistics, enabled export, sharing, archive, or report-ready capability.","Gating review only; does not change exportGate, reportStatusKey, resultSemanticKey, active assets, or active loader."
result_table,result.semantic.testing_summary_only,docs/ui/icon_production/result_report_export/svg/result_table.svg,pilot_allowed,true,true,page_region_marker_only,Result table / 结果表格,Testing summary only; no formal result table available.,true,true,Allowed only as marker/helper in disabled or gated Result / Report / Export surfaces.,"Gating review only; does not change exportGate, reportStatusKey, resultSemanticKey, active assets, or active loader."
result_statistics,analysis.status.testing_level,docs/ui/icon_production/result_report_export/svg/result_statistics.svg,disabled_affordance_only,false,false,future_statistics_placeholder_only,Statistics / 统计摘要,Disabled testing-level placeholder only; no formal statistics.,true,true,"High risk of implying formal result, fake chart/statistics, enabled export, sharing, archive, or report-ready capability.","Gating review only; does not change exportGate, reportStatusKey, resultSemanticKey, active assets, or active loader."
result_summary,result.semantic.testing_summary_only,docs/ui/icon_production/result_report_export/svg/result_summary.svg,pilot_allowed,true,true,page_region_marker_only,Result summary / 结果摘要,Testing summary only; no formal result summary available.,true,true,Allowed only as marker/helper in disabled or gated Result / Report / Export surfaces.,"Gating review only; does not change exportGate, reportStatusKey, resultSemanticKey, active assets, or active loader."
report_generate,report.status.draft,docs/ui/icon_production/result_report_export/svg/report_generate.svg,blocked_until_function_ready,false,false,none,Generate report / 生成报告,Blocked until report generation remains explicitly gated and draft-only.,true,true,"High risk of implying formal result, fake chart/statistics, enabled export, sharing, archive, or report-ready capability.","Gating review only; does not change exportGate, reportStatusKey, resultSemanticKey, active assets, or active loader."
report_template,report.status.draft,docs/ui/icon_production/result_report_export/svg/report_template.svg,pilot_allowed,true,true,draft_template_marker_only,Report template / 报告模板,Draft template marker only; no report-ready package.,true,true,Allowed only as marker/helper in disabled or gated Result / Report / Export surfaces.,"Gating review only; does not change exportGate, reportStatusKey, resultSemanticKey, active assets, or active loader."
export_result,report.export_panel,docs/ui/icon_production/result_report_export/svg/export_result.svg,blocked_until_function_ready,false,false,none,Export result / 导出结果,Blocked until export action has strict disabled/gated state.,true,true,"High risk of implying formal result, fake chart/statistics, enabled export, sharing, archive, or report-ready capability.","Gating review only; does not change exportGate, reportStatusKey, resultSemanticKey, active assets, or active loader."
export_pdf,report.export_panel,docs/ui/icon_production/result_report_export/svg/export_pdf.svg,blocked_until_function_ready,false,false,none,PDF export / PDF 导出,Blocked until PDF export action has strict disabled/gated state.,true,true,"High risk of implying formal result, fake chart/statistics, enabled export, sharing, archive, or report-ready capability.","Gating review only; does not change exportGate, reportStatusKey, resultSemanticKey, active assets, or active loader."
export_excel,export.format.xlsx,docs/ui/icon_production/result_report_export/svg/export_excel.svg,blocked_until_function_ready,false,false,none,Excel export / Excel 导出,Blocked until XLSX export action has strict disabled/gated state.,true,true,"High risk of implying formal result, fake chart/statistics, enabled export, sharing, archive, or report-ready capability.","Gating review only; does not change exportGate, reportStatusKey, resultSemanticKey, active assets, or active loader."
export_csv,export.format.csv,docs/ui/icon_production/result_report_export/svg/export_csv.svg,blocked_until_function_ready,false,false,none,CSV export / CSV 导出,Blocked until CSV export action has strict disabled/gated state.,true,true,"High risk of implying formal result, fake chart/statistics, enabled export, sharing, archive, or report-ready capability.","Gating review only; does not change exportGate, reportStatusKey, resultSemanticKey, active assets, or active loader."
export_archive,report.export_panel,docs/ui/icon_production/result_report_export/svg/export_archive.svg,future_only,false,false,none,Archive export / 归档导出,Future only; archive package risks report-ready implication.,true,true,"High risk of implying formal result, fake chart/statistics, enabled export, sharing, archive, or report-ready capability.","Gating review only; does not change exportGate, reportStatusKey, resultSemanticKey, active assets, or active loader."
share_result,report.export_panel,docs/ui/icon_production/result_report_export/svg/share_result.svg,future_only,false,false,none,Share result / 分享结果,Future only; sharing workflow is not active.,true,true,"High risk of implying formal result, fake chart/statistics, enabled export, sharing, archive, or report-ready capability.","Gating review only; does not change exportGate, reportStatusKey, resultSemanticKey, active assets, or active loader."
result_clear,report.export_panel,docs/ui/icon_production/result_report_export/svg/result_clear.svg,pilot_allowed,true,true,disabled_helper_icon_only,Clear result state / 清理结果状态,Disabled or gated helper only; does not alter result state.,true,true,Allowed only as marker/helper in disabled or gated Result / Report / Export surfaces.,"Gating review only; does not change exportGate, reportStatusKey, resultSemanticKey, active assets, or active loader."
