screen_id,current_ui_state,backend_store_available,storage_adapter_required,file_picker_required,first_allowed_action,must_remain_disabled,implementation_stage,risk_level,notes
quick_calculator,implemented_runtime_ui,false,true,true,copy_result,save_history; export_file; calculation_history,UI-C3b_read_only_adapter_probe,medium,"CalculationRecordStore is missing; copy can remain active but save/history/export stay disabled."
dynamic_formula_solver,implemented_runtime_ui,false,true,true,copy_result,save_history; export_file; calculation_history,UI-C3b_read_only_adapter_probe,medium,"Formula solver output is calculation aid; no record store exists."
reagent_template,implemented_preview_only,true,true,false,save_template_after_storage_adapter,cloud_template_library; inventory_deduction; production_batch_release,UI-C3c_storage_adapter_save,high,"ReagentTemplateStore can be planned through explicit project_storage/labtools/templates/reagents path."
reagent_preparation,implemented_preview_only,true,true,true,save_preparation_record_after_storage_adapter,export_without_file_picker; inventory_consumption; production_batch_release,UI-C3d_record_save_then_C3e_export,high,"PreparationRecordStore can be planned; Markdown/CSV export needs file picker."
wb_loading,implemented_preview_only,true,true,true,save_wb_loading_record_after_storage_adapter,export_without_file_picker; fake_gel_band; image_analysis,UI-C3d_record_save_then_C3e_export,high,"WBLoadingRecordStore can be planned; CSV/Markdown export needs file picker."
sds_page,boundary_shell_only,partial_or_testing,true,true,copy_preview_future,template_save; xlsx_export_without_file_picker; protocol_claim,UI-C3e_or_later,medium,"SDS-PAGE XLSX export remains planned until adapter and writer review."
bca_od,implemented_preview_only,false,true,true,copy_preview_if_safe,save_record; formal_export; formal_report; clinical_quantification,blocked_future,high,"BCA formal record/export store missing; MVP preview only."
cell_experiment,boundary_shell_only,false,true,true,view_shell,save_record; history; export; fake_timeline,blocked_future,high,"CellExperimentRecordStore missing; no real save/history/export."
elisa_immuno_absorbance,blocked_until_backend,false,true,true,view_boundary,run_elisa; save_record; formal_export; report_package,blocked_until_backend,high,"ELISA backend and store/export are not ready."
image_processing,boundary_shell_only,false,true,true,view_boundary,run_imagej_fiji; export_result; macro_surface; automatic_roi,blocked_until_external_engine_adapter,high,"Image processing export requires external engine adapter and result model."
