resource_id,semantic_key,resource_family,svg_path,png_24_path,png_32_path,png_48_path,png_64_path,source_placeholder_reference,production_candidate,replacement_ready,ready_for_pilot_review,qa_status,qa_notes
module_bioinformatics,module.bioinformatics,modules,docs/ui/icon_production/p1/svg/module_bioinformatics.svg,docs/ui/icon_production/p1/png/24/module_bioinformatics.png,docs/ui/icon_production/p1/png/32/module_bioinformatics.png,docs/ui/icon_production/p1/png/48/module_bioinformatics.png,docs/ui/icon_production/p1/png/64/module_bioinformatics.png,docs/ui/icon_extraction/batch_01/modules/module_bioinformatics_64_placeholder.png,true,false,true,candidate_generated_pending_pilot_visual_review,Generated as new transparent SVG candidate from vector primitives; placeholder reference used only for composition guidance; not wired to active assets or loader.
module_meta_analysis,module.meta_analysis,modules,docs/ui/icon_production/p1/svg/module_meta_analysis.svg,docs/ui/icon_production/p1/png/24/module_meta_analysis.png,docs/ui/icon_production/p1/png/32/module_meta_analysis.png,docs/ui/icon_production/p1/png/48/module_meta_analysis.png,docs/ui/icon_production/p1/png/64/module_meta_analysis.png,docs/ui/icon_extraction/batch_01/modules/module_meta_analysis_64_placeholder.png,true,false,true,candidate_generated_pending_pilot_visual_review,Generated as new transparent SVG candidate from vector primitives; placeholder reference used only for composition guidance; not wired to active assets or loader.
module_labtools,module.labtools,modules,docs/ui/icon_production/p1/svg/module_labtools.svg,docs/ui/icon_production/p1/png/24/module_labtools.png,docs/ui/icon_production/p1/png/32/module_labtools.png,docs/ui/icon_production/p1/png/48/module_labtools.png,docs/ui/icon_production/p1/png/64/module_labtools.png,docs/ui/icon_extraction/batch_01/modules/module_labtools_64_placeholder.png,true,false,true,candidate_generated_pending_pilot_visual_review,Generated as new transparent SVG candidate from vector primitives; placeholder reference used only for composition guidance; not wired to active assets or loader.
module_settings,module.settings,modules,docs/ui/icon_production/p1/svg/module_settings.svg,docs/ui/icon_production/p1/png/24/module_settings.png,docs/ui/icon_production/p1/png/32/module_settings.png,docs/ui/icon_production/p1/png/48/module_settings.png,docs/ui/icon_production/p1/png/64/module_settings.png,docs/ui/icon_extraction/batch_01/modules/module_settings_64_placeholder.png,true,false,true,candidate_generated_pending_pilot_visual_review,Generated as new transparent SVG candidate from vector primitives; placeholder reference used only for composition guidance; not wired to active assets or loader.
labtools_general_calculator,labtools.page.general_calculators,labtools,docs/ui/icon_production/p1/svg/labtools_general_calculator.svg,docs/ui/icon_production/p1/png/24/labtools_general_calculator.png,docs/ui/icon_production/p1/png/32/labtools_general_calculator.png,docs/ui/icon_production/p1/png/48/labtools_general_calculator.png,docs/ui/icon_production/p1/png/64/labtools_general_calculator.png,docs/ui/icon_extraction/batch_01/labtools/labtools_general_calculator_64_placeholder.png,true,false,true,candidate_generated_pending_pilot_visual_review,Generated as new transparent SVG candidate from vector primitives; placeholder reference used only for composition guidance; not wired to active assets or loader.
labtools_reagent_preparation,labtools.page.reagent_preparation,labtools,docs/ui/icon_production/p1/svg/labtools_reagent_preparation.svg,docs/ui/icon_production/p1/png/24/labtools_reagent_preparation.png,docs/ui/icon_production/p1/png/32/labtools_reagent_preparation.png,docs/ui/icon_production/p1/png/48/labtools_reagent_preparation.png,docs/ui/icon_production/p1/png/64/labtools_reagent_preparation.png,docs/ui/icon_extraction/batch_01/labtools/labtools_reagent_preparation_64_placeholder.png,true,false,true,candidate_generated_pending_pilot_visual_review,Generated as new transparent SVG candidate from vector primitives; placeholder reference used only for composition guidance; not wired to active assets or loader.
labtools_experiment_modules,labtools.page.experiment_modules,labtools,docs/ui/icon_production/p1/svg/labtools_experiment_modules.svg,docs/ui/icon_production/p1/png/24/labtools_experiment_modules.png,docs/ui/icon_production/p1/png/32/labtools_experiment_modules.png,docs/ui/icon_production/p1/png/48/labtools_experiment_modules.png,docs/ui/icon_production/p1/png/64/labtools_experiment_modules.png,docs/ui/icon_extraction/batch_01/labtools/labtools_experiment_modules_64_placeholder.png,true,false,true,candidate_generated_pending_pilot_visual_review,Generated as new transparent SVG candidate from vector primitives; placeholder reference used only for composition guidance; not wired to active assets or loader.
labtools_cell_experiments,labtools.page.cell_experiments,labtools,docs/ui/icon_production/p1/svg/labtools_cell_experiments.svg,docs/ui/icon_production/p1/png/24/labtools_cell_experiments.png,docs/ui/icon_production/p1/png/32/labtools_cell_experiments.png,docs/ui/icon_production/p1/png/48/labtools_cell_experiments.png,docs/ui/icon_production/p1/png/64/labtools_cell_experiments.png,docs/ui/icon_extraction/batch_01/labtools/labtools_cell_experiments_64_placeholder.png,true,false,true,candidate_generated_pending_pilot_visual_review,Generated as new transparent SVG candidate from vector primitives; placeholder reference used only for composition guidance; not wired to active assets or loader.
labtools_protein_experiments,labtools.page.protein_experiments,labtools,docs/ui/icon_production/p1/svg/labtools_protein_experiments.svg,docs/ui/icon_production/p1/png/24/labtools_protein_experiments.png,docs/ui/icon_production/p1/png/32/labtools_protein_experiments.png,docs/ui/icon_production/p1/png/48/labtools_protein_experiments.png,docs/ui/icon_production/p1/png/64/labtools_protein_experiments.png,docs/ui/icon_extraction/batch_01/labtools/labtools_protein_experiments_64_placeholder.png,true,false,true,candidate_generated_pending_pilot_visual_review,Generated as new transparent SVG candidate from vector primitives; placeholder reference used only for composition guidance; not wired to active assets or loader.
labtools_nucleic_acid_experiments,labtools.page.nucleic_acid_experiments,labtools,docs/ui/icon_production/p1/svg/labtools_nucleic_acid_experiments.svg,docs/ui/icon_production/p1/png/24/labtools_nucleic_acid_experiments.png,docs/ui/icon_production/p1/png/32/labtools_nucleic_acid_experiments.png,docs/ui/icon_production/p1/png/48/labtools_nucleic_acid_experiments.png,docs/ui/icon_production/p1/png/64/labtools_nucleic_acid_experiments.png,docs/ui/icon_extraction/batch_01/labtools/labtools_nucleic_acid_experiments_64_placeholder.png,true,false,true,candidate_generated_pending_pilot_visual_review,Generated as new transparent SVG candidate from vector primitives; placeholder reference used only for composition guidance; not wired to active assets or loader.
labtools_immuno_absorbance,labtools.page.immuno_absorbance,labtools,docs/ui/icon_production/p1/svg/labtools_immuno_absorbance.svg,docs/ui/icon_production/p1/png/24/labtools_immuno_absorbance.png,docs/ui/icon_production/p1/png/32/labtools_immuno_absorbance.png,docs/ui/icon_production/p1/png/48/labtools_immuno_absorbance.png,docs/ui/icon_production/p1/png/64/labtools_immuno_absorbance.png,docs/ui/icon_extraction/batch_01/labtools/labtools_immuno_absorbance_64_placeholder.png,true,false,true,candidate_generated_pending_pilot_visual_review,Generated as new transparent SVG candidate from vector primitives; placeholder reference used only for composition guidance; not wired to active assets or loader.
labtools_ihc,labtools.page.ihc,labtools,docs/ui/icon_production/p1/svg/labtools_ihc.svg,docs/ui/icon_production/p1/png/24/labtools_ihc.png,docs/ui/icon_production/p1/png/32/labtools_ihc.png,docs/ui/icon_production/p1/png/48/labtools_ihc.png,docs/ui/icon_production/p1/png/64/labtools_ihc.png,docs/ui/icon_extraction/batch_01/labtools/labtools_ihc_64_placeholder.png,true,false,true,candidate_generated_pending_pilot_visual_review,Generated as new transparent SVG candidate from vector primitives; placeholder reference used only for composition guidance; not wired to active assets or loader.
bio_page_project_home,bio.page.project_home,bio_pages,docs/ui/icon_production/p1/svg/bio_page_project_home.svg,docs/ui/icon_production/p1/png/24/bio_page_project_home.png,docs/ui/icon_production/p1/png/32/bio_page_project_home.png,docs/ui/icon_production/p1/png/48/bio_page_project_home.png,docs/ui/icon_production/p1/png/64/bio_page_project_home.png,docs/ui/icon_extraction/batch_01/bio_pages/bio_page_project_home_64_placeholder.png,true,false,true,candidate_generated_pending_pilot_visual_review,Generated as new transparent SVG candidate from vector primitives; placeholder reference used only for composition guidance; not wired to active assets or loader.
bio_page_data_source,bio.page.data_source,bio_pages,docs/ui/icon_production/p1/svg/bio_page_data_source.svg,docs/ui/icon_production/p1/png/24/bio_page_data_source.png,docs/ui/icon_production/p1/png/32/bio_page_data_source.png,docs/ui/icon_production/p1/png/48/bio_page_data_source.png,docs/ui/icon_production/p1/png/64/bio_page_data_source.png,docs/ui/icon_extraction/batch_01/bio_pages/bio_page_data_source_64_placeholder.png,true,false,true,candidate_generated_pending_pilot_visual_review,Generated as new transparent SVG candidate from vector primitives; placeholder reference used only for composition guidance; not wired to active assets or loader.
