"component_name","priority","category","used_by_pages","current_runtime_problem","target_mockup_behavior","implementation_complexity","must_not_change_semantics","first_stage_to_implement"
"AppSidebar","P0","Core","Dashboard; LabTools; Bioinformatics; Meta Analysis; Settings","Runtime sidebar exists but module labels, icon rhythm, active state, and auxiliary entries are not governed by a shared shell contract.","Stable product navigation with compact module entries, clear active state, bottom auxiliary entries, and no project-center/report-center overexposure.","M","Keep module routing, Developer Preview meaning, and no account/subscription enablement.","UI-D1b"
"PageShell","P0","Core","All module pages","Pages are assembled with ad hoc QVBox/QHBox layouts, causing inconsistent margins, scroll behavior, and dense-page clipping.","One page container with consistent content margins, scroll policy, body regions, and maximum readable width rules for workbench pages.","M","Do not change page routing, backend execution, file writes, or packaging behavior.","UI-D1b"
"PageHeader","P0","Core","Dashboard; LabTools; Bioinformatics; Meta Analysis; Settings","Headers vary by page; status chips and subtitles compete with page content or disappear on dense screens.","Compact title, subtitle, status row, and optional page actions that match mockup hierarchy without hero-scale typography.","S","Do not introduce production-ready wording for testing, planned, shell-only, preflight, or draft states.","UI-D1b"
"StatusChip","P0","Core","All gated modules; Settings resources; result/export gates","Existing chips are partially shared, but repeated local labels and chip sizing still create inconsistent status prominence.","Token-backed semantic chips with optional status icon, tooltip, fixed height, and consistent colors across modules.","S","Status semantic key remains authoritative; color/icon must not imply enabled formal capability.","UI-D1b"
"ActionButton","P0","Core","Dashboard cards; module pages; forms; export gates","Buttons mix native and custom styles; enabled-looking controls can appear under disabled report/export gates.","Role-based primary, secondary, ghost, danger, and compact actions with clear disabled/adapter-needed states.","S","Do not enable executor, report/export, installer, cloud, or file-write behavior through visual refactor.","UI-D1b"
"WorkbenchCard","P0","Core","Dashboard cards; LabTools entries; Bioinformatics cards; Meta cards; Settings panels","Cards use repeated inline borders and padding, making dashboard, settings, and workflow panels visually unrelated.","Reusable non-nested card primitive for repeated items and framed tools with 8px-or-less radius and stable padding.","S","No nested cards as page sections; repeated items only unless the page truly needs a framed tool.","UI-D1b"
"SectionTitle","P1","Core","Forms; tables; right panels; Settings groups","Section labels are inconsistent in weight, size, and spacing, especially inside dense LabTools and Bioinformatics pages.","Compact section headings with optional secondary caption and predictable spacing before tables/forms.","S","Do not add explanatory design text into the runtime UI.","UI-D1b"
"IconLabel","P1","Core","Sidebar; module cards; status rows; settings resource rows","Icons are connected through app_identity but their label alignment and fallback handling are page-specific.","Small icon plus label row with fallback-safe sizing and semantic source metadata.","S","Icon presence must not imply a resource is installed or a capability is enabled.","UI-D1b"
"EmptyState","P0","Core","Dashboard recent projects; Bioinformatics no-result; Meta gates; Settings missing resources","Empty states exist but are not consistently sized, illustrated, or separated from warning/gate notices.","Shared illustrated empty state with title, concise body, optional disabled action, and semantic empty-state key.","S","No fake results, fake reports, fake ready packages, or fake project records.","UI-D1b"
"InfoBanner","P0","Core","Developer Preview notices; gate notices; warning/review notices","Notices vary between labels, raw text blocks, and local warning cards; visual severity is inconsistent.","Token-backed info/warning/blocker/success banner with compact text, icon slot, and optional action area.","S","Warning and gate semantics must remain visible; no formal capability may be softened into success.","UI-D1b"
"ModuleEntryCard","P0","Common","Dashboard; LabTools home; experiment module boundary page","Dashboard and module entry cards have acceptable IA but inconsistent icon scale, status chip placement, and secondary copy density.","Stable module entry card with icon, title, brief description, status chip, and a single clear entry action.","M","Do not expose hidden first-level modules such as external engines, report center, account, or subscription.","UI-D1c"
"WorkflowStepper","P0","Common","Bioinformatics 7-step workflow; Meta 10-step workflow; LabTools reagent/WB flows","Workflow navigation is repeated as lists/tabs and can compress or overlap content on Meta and dense pages.","Module-local stepper with current, blocked, planned, testing, and completed-draft visual states plus safe disabled routing.","M","No step state may imply formal analysis completion or report readiness.","UI-D1c"
"SecondaryNavTabs","P0","Common","Settings groups; LabTools calculator/reagent subpages; Bioinformatics auxiliary pages","Internal navigation is inconsistent: tabs, cards, buttons, and stacked lists are mixed per page.","Compact segmented/tabs control for local page grouping with stable widths and long-label fallback.","M","Do not create new runtime routes or activate hidden modules.","UI-D1c"
