resource_id,semantic_key,resource_family,production_svg_path,active_asset_path,module_key,active_pilot,replacement_state,replacement_ready,ready_for_pilot_review,notes
module_bioinformatics,module.bioinformatics,modules,docs/ui/icon_production/p1/svg/module_bioinformatics.svg,assets/icons/modules/module_bioinformatics.svg,module.bioinformatics,true,pilot_only,pilot_only,true,Active module icon pilot only; loader fallback preserves text label and navigation.
module_meta_analysis,module.meta_analysis,modules,docs/ui/icon_production/p1/svg/module_meta_analysis.svg,assets/icons/modules/module_meta_analysis.svg,module.meta_analysis,true,pilot_only,pilot_only,true,Active module icon pilot only; loader fallback preserves text label and navigation.
module_labtools,module.labtools,modules,docs/ui/icon_production/p1/svg/module_labtools.svg,assets/icons/modules/module_labtools.svg,module.labtools,true,pilot_only,pilot_only,true,Active module icon pilot only; loader fallback preserves text label and navigation.
module_settings,module.settings,modules,docs/ui/icon_production/p1/svg/module_settings.svg,assets/icons/modules/module_settings.svg,module.settings,true,pilot_only,pilot_only,true,Active module icon pilot only; loader fallback preserves text label and navigation.
labtools_general_calculator,labtools.page.general_calculators,labtools,docs/ui/icon_production/p1/svg/labtools_general_calculator.svg,,,false,not_active_pilot,false,true,P1 candidate remains docs-only and is not active in UI-B8b4a.
labtools_reagent_preparation,labtools.page.reagent_preparation,labtools,docs/ui/icon_production/p1/svg/labtools_reagent_preparation.svg,,,false,not_active_pilot,false,true,P1 candidate remains docs-only and is not active in UI-B8b4a.
labtools_experiment_modules,labtools.page.experiment_modules,labtools,docs/ui/icon_production/p1/svg/labtools_experiment_modules.svg,,,false,not_active_pilot,false,true,P1 candidate remains docs-only and is not active in UI-B8b4a.
labtools_cell_experiments,labtools.page.cell_experiments,labtools,docs/ui/icon_production/p1/svg/labtools_cell_experiments.svg,,,false,not_active_pilot,false,true,P1 candidate remains docs-only and is not active in UI-B8b4a.
labtools_protein_experiments,labtools.page.protein_experiments,labtools,docs/ui/icon_production/p1/svg/labtools_protein_experiments.svg,,,false,not_active_pilot,false,true,P1 candidate remains docs-only and is not active in UI-B8b4a.
labtools_nucleic_acid_experiments,labtools.page.nucleic_acid_experiments,labtools,docs/ui/icon_production/p1/svg/labtools_nucleic_acid_experiments.svg,,,false,not_active_pilot,false,true,P1 candidate remains docs-only and is not active in UI-B8b4a.
labtools_immuno_absorbance,labtools.page.immuno_absorbance,labtools,docs/ui/icon_production/p1/svg/labtools_immuno_absorbance.svg,,,false,not_active_pilot,false,true,P1 candidate remains docs-only and is not active in UI-B8b4a.
labtools_ihc,labtools.page.ihc,labtools,docs/ui/icon_production/p1/svg/labtools_ihc.svg,,,false,not_active_pilot,false,true,P1 candidate remains docs-only and is not active in UI-B8b4a.
bio_page_project_home,bio.page.project_home,bio_pages,docs/ui/icon_production/p1/svg/bio_page_project_home.svg,,,false,not_active_pilot,false,true,P1 candidate remains docs-only and is not active in UI-B8b4a.
bio_page_data_source,bio.page.data_source,bio_pages,docs/ui/icon_production/p1/svg/bio_page_data_source.svg,,,false,not_active_pilot,false,true,P1 candidate remains docs-only and is not active in UI-B8b4a.
bio_page_data_check_preparation,bio.page.data_check_preparation,bio_pages,docs/ui/icon_production/p1/svg/bio_page_data_check_preparation.svg,,,false,not_active_pilot,false,true,P1 candidate remains docs-only and is not active in UI-B8b4a.
bio_page_group_design,bio.page.group_design,bio_pages,docs/ui/icon_production/p1/svg/bio_page_group_design.svg,,,false,not_active_pilot,false,true,P1 candidate remains docs-only and is not active in UI-B8b4a.
bio_page_analysis_tasks,bio.page.analysis_tasks,bio_pages,docs/ui/icon_production/p1/svg/bio_page_analysis_tasks.svg,,,false,not_active_pilot,false,true,P1 candidate remains docs-only and is not active in UI-B8b4a.
bio_page_result_report,bio.page.result_report,bio_pages,docs/ui/icon_production/p1/svg/bio_page_result_report.svg,,,false,not_active_pilot,false,true,P1 candidate remains docs-only and is not active in UI-B8b4a.
bio_page_report_export,bio.page.report_export,bio_pages,docs/ui/icon_production/p1/svg/bio_page_report_export.svg,,,false,not_active_pilot,false,true,P1 candidate remains docs-only and is not active in UI-B8b4a.
bio_page_settings_resources,bio.page.settings_resources,bio_pages,docs/ui/icon_production/p1/svg/bio_page_settings_resources.svg,,,false,not_active_pilot,false,true,P1 candidate remains docs-only and is not active in UI-B8b4a.
bio_page_project_logs,bio.page.project_logs_technical_details,bio_pages,docs/ui/icon_production/p1/svg/bio_page_project_logs.svg,,,false,not_active_pilot,false,true,P1 candidate remains docs-only and is not active in UI-B8b4a.
meta_page_project_home,meta.page.project_home,meta_pages,docs/ui/icon_production/p1/svg/meta_page_project_home.svg,,,false,not_active_pilot,false,true,P1 candidate remains docs-only and is not active in UI-B8b4a.
meta_page_question_meta_type,meta.page.question_meta_type,meta_pages,docs/ui/icon_production/p1/svg/meta_page_question_meta_type.svg,,,false,not_active_pilot,false,true,P1 candidate remains docs-only and is not active in UI-B8b4a.
meta_page_search_strategy,meta.page.search_strategy,meta_pages,docs/ui/icon_production/p1/svg/meta_page_search_strategy.svg,,,false,not_active_pilot,false,true,P1 candidate remains docs-only and is not active in UI-B8b4a.
meta_page_import_deduplication,meta.page.import_dedup,meta_pages,docs/ui/icon_production/p1/svg/meta_page_import_deduplication.svg,,,false,not_active_pilot,false,true,P1 candidate remains docs-only and is not active in UI-B8b4a.
meta_page_screening,meta.page.screening,meta_pages,docs/ui/icon_production/p1/svg/meta_page_screening.svg,,,false,not_active_pilot,false,true,P1 candidate remains docs-only and is not active in UI-B8b4a.
meta_page_fulltext_extraction,meta.page.fulltext_extraction,meta_pages,docs/ui/icon_production/p1/svg/meta_page_fulltext_extraction.svg,,,false,not_active_pilot,false,true,P1 candidate remains docs-only and is not active in UI-B8b4a.
meta_page_quality_assessment,meta.page.quality_assessment,meta_pages,docs/ui/icon_production/p1/svg/meta_page_quality_assessment.svg,,,false,not_active_pilot,false,true,P1 candidate remains docs-only and is not active in UI-B8b4a.
meta_page_analysis_tasks,meta.page.analysis_tasks,meta_pages,docs/ui/icon_production/p1/svg/meta_page_analysis_tasks.svg,,,false,not_active_pilot,false,true,P1 candidate remains docs-only and is not active in UI-B8b4a.
meta_page_result_report,meta.page.result_report,meta_pages,docs/ui/icon_production/p1/svg/meta_page_result_report.svg,,,false,not_active_pilot,false,true,P1 candidate remains docs-only and is not active in UI-B8b4a.
meta_page_report_export,meta.page.report_export,meta_pages,docs/ui/icon_production/p1/svg/meta_page_report_export.svg,,,false,not_active_pilot,false,true,P1 candidate remains docs-only and is not active in UI-B8b4a.
