mapping_id,concept_id,source,rule_kind,target_field,target_value,target_term_id,notes,is_active
map.access_controlled.geo.controlled,access.controlled,geo,query_term,,controlled,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.access_controlled.tcga_gdc.shared_access_controlled,access.controlled,tcga_gdc,structured_filter,access,controlled,shared.access.controlled,Controlled concept for TCGA/GDC routing.,true
map.access_open.geo.open,access.open,geo,query_term,,open,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.access_open.geo.open_access,access.open,geo,query_term,,open access,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.access_open.gtex.gtex_access_open_access,access.open,gtex,structured_filter,access,open access,gtex.access.open_access,Open-access concept for GTEx routing.,true
map.access_open.tcga_gdc.shared_access_open,access.open,tcga_gdc,structured_filter,access,open,shared.access.open,Open-access concept for structured routing.,true
map.access_protected.geo.protected,access.protected,geo,query_term,,protected,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.access_protected.gtex.gtex_access_protected,access.protected,gtex,structured_filter,access,protected,gtex.access.protected,Protected concept for GTEx routing.,true
map.access_release.geo.release,access.release,geo,query_term,,release,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.access_release.geo.released,access.release,geo,query_term,,released,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.access_release.gtex.gtex_access_release,access.release,gtex,structured_filter,release,release,gtex.access.release,Release concept for GTEx.,true
map.access_release.tcga_gdc.tcga_gdc_mode_released,access.release,tcga_gdc,structured_filter,files.state,released,tcga_gdc.mode.released,Released state concept for TCGA/GDC.,true
map.analysis_resource_biospecimen.geo.biospecimen,analysis_resource.biospecimen,geo,query_term,,biospecimen,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.analysis_resource_biospecimen.geo.biospecimen_metadata,analysis_resource.biospecimen,geo,query_term,,biospecimen metadata,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.analysis_resource_biospecimen.tcga_gdc.tcga_gdc_data_type_biospecimen_supplement,analysis_resource.biospecimen,tcga_gdc,structured_filter,files.data_type,Biospecimen Supplement,tcga_gdc.data_type.biospecimen_supplement,Biospecimen concept maps to TCGA/GDC biospecimen supplement.,true
map.analysis_resource_biospecimen.tcga_gdc.shared_display_biospecimen,analysis_resource.biospecimen,tcga_gdc,structured_filter,display_category,biospecimen,shared.display.biospecimen,Biospecimen display concept supports UI routing.,true
map.analysis_resource_clinical.geo.clinical,analysis_resource.clinical,geo,query_term,,clinical,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.analysis_resource_clinical.geo.clinical_metadata,analysis_resource.clinical,geo,query_term,,clinical metadata,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.analysis_resource_clinical.tcga_gdc.tcga_gdc_data_type_clinical_supplement,analysis_resource.clinical,tcga_gdc,structured_filter,files.data_type,Clinical Supplement,tcga_gdc.data_type.clinical_supplement,Clinical concept maps to TCGA/GDC clinical supplement.,true
map.analysis_resource_clinical.tcga_gdc.shared_display_clinical,analysis_resource.clinical,tcga_gdc,structured_filter,display_category,clinical,shared.display.clinical,Clinical display concept supports UI routing.,true
map.analysis_resource_copy_number.geo.cnv,analysis_resource.copy_number,geo,query_term,,cnv,,Reserved GEO query-expansion term derived from the shared concept layer.,true
