"screen_id","screen_name_zh","screen_name_en","page_title","page_purpose","primary_action","input_zone","parameter_cards","result_zone","warning_blocker_zone","save_copy_export_zone","history_zone","empty_state","icon_family","backend_api_touchpoint","current_status","wireframe_layout","mockup_priority","implementation_priority","non_goals","notes"
"LAB-001","通用试剂计算器","General Reagent Calculator","通用计算器 / General Calculator","提供跨实验场景的基础公式计算与单位换算，不承载实验专属计算。","选择计算类型并填写变量后预览计算结果。","左侧计算类型列表；中部变量输入行；每个变量带单位选择器；支持质量/体积/摩尔/浓度/RCF/RPM等基础输入。","当前公式说明卡；单位换算规则卡；输入校验卡。","右侧结果摘要卡；公式展开；换算明细；copy-ready result block。","缺必填变量；单位不兼容；实验专属计算跳转提示。","复制结果；保存到本地记录 future；导出 disabled/future。","最近 5 次计算记录 shell；无记录时显示 empty state。","无历史计算时显示 empty_history；无输入时显示 empty_result。","labtools; status; empty_states","No app/labtools backend in UIShell; current shell in app/shell/main_window.py; future calculator adapter needed.","ui_adapter_needed","三栏布局：左侧计算类型，中央输入表单，右侧结果与历史；顶部保留 LabTools 二级导航和 shell-only/testing status chip。","P0","P1","不得放入 WB/PCR/ELISA/MTT/BCA/SDS-PAGE 等实验专属计算。","第一版重点：C1V1、梯度稀释、molarity、percentage、RPM/RCF、单位换算。"
"LAB-002","动态公式计算器","Dynamic Formula Calculator","动态公式求解 / Dynamic Formula Solver","允许用户定义简单公式变量并进行安全求解。","新增公式、填写变量、预览结果。","公式输入框；变量自动解析表；变量单位 selector；目标变量选择。","公式安全说明卡；变量维度检查卡；单位换算卡。","结果数值；代入过程；单位换算 trace。","公式解析失败；变量缺失；单位不兼容；非支持函数。","复制公式与结果；保存为模板 future；导出 disabled。","自定义公式历史 shell。","无公式模板时显示 empty_project 或 empty_history。","labtools; status; empty_states","No active backend in UIShell; future safe formula parser and unit conversion adapter needed.","planned","上下结构：公式编辑器在上，变量表和目标变量在中，结果/trace 在右下；保留 planned chip。","P1","P3","不执行任意代码；不支持复杂脚本；不作为所有实验专属计算入口。","需先定义安全表达式和单位系统。"
"LAB-003","我的试剂模板","My Reagent Templates","我的试剂模板 / Reagent Templates","管理试剂配制模板，并为本次配制提供只读模板来源。","选择模板、创建模板、打开编辑 side panel。","模板列表筛选；模板名称/类别/单位/库存状态；编辑 side panel 包含配方行、目标浓度、储存条件、备注。","模板摘要卡；配方组分卡；版本/来源卡；编辑校验卡。","模板详情预览；可生成本次配制草稿。","模板字段缺失；单位冲突；本次配制不得直接修改原模板提示。","复制模板；保存模板 future; 从模板创建本次配制；导出 disabled。","模板版本历史和最近使用 shell。","无模板时显示 empty_project + 新建模板 CTA。","labtools; empty_states; status","No active reagent template backend in UIShell; future local template repository adapter needed.","planned","列表 + 右侧详情 + 编辑 side panel/modal；编辑 modal 保留模板字段，不混入本次配制记录。","P1","P2","不做云同步；不做多人协作；不做 LIMS；不在本次配制中直接改原模板。","模板编辑 modal/side panel 是本阶段重点 mockup surface。"
"LAB-004","试剂配制","Reagent Preparation","本次试剂配制 / Reagent Preparation Run","基于模板生成本次配制单、记录批次和配制结果。","选择模板并生成配制单，填写本次批次和目标量。","模板选择；目标浓度/体积；批次号；操作者；日期；组分实际取用量。","模板来源卡；本次参数卡；材料/批次卡；稳定性提示卡。","配制单预览；组分用量表；步骤清单；记录摘要。","模板缺失；库存/材料记录缺失；单位不兼容；只读模板提醒。","保存配制记录 future；复制配制单；导出 Markdown/PDF disabled。","历史配制记录表 shell。","无模板或无历史时显示 empty_missing_resource/empty_history。","labtools; status; empty_states","No active reagent preparation backend in UIShell; future local preparation record adapter needed.","ui_adapter_needed","步骤式布局：选择模板 -> 参数复核 -> 用量结果 -> 保存/复制；右侧显示历史与 blocker。","P0","P1","不改原模板；不做库存扣减自动化；不做云同步。","应先做低到中保真 mockup。"
"LAB-005","Western Blot loading calculator","Western Blot Loading Calculator","Western Blot 上样体系计算 / WB Loading","作为蛋白实验 Western Blot 流程内部步骤，计算上样体系。","输入蛋白浓度和目标上样量，生成上样混合表。","样本列表；浓度；目标蛋白量；loading buffer 比例；最终体积；孔位/lane optional。","样本定量卡；loading 参数卡；lane layout future card。","上样体系表；每样本取样量；buffer/水补足量；异常标记。","浓度缺失；体积为负；目标量超出可行范围；BCA 数据未关联。","复制上样表；保存 WB step record future；导出 disabled。","WB 实验步骤历史 shell。","无样本时显示 empty_project 或 empty_missing_resource。","labtools; status; empty_states","No active WB backend in UIShell; future protein experiment adapter needed.","planned","Western Blot 流程页内部 tab/step：样本定量 -> 上样计算 -> SDS-PAGE -> lane layout；本页聚焦上样计算。","P1","P2","不作为通用计算器内容；不直接进入图像分析。","BCA 数据可作为未来前置输入。"
"LAB-006","SDS-PAGE 配胶","SDS-PAGE Gel Preparation","SDS-PAGE 配胶 / Gel Preparation","作为 Western Blot 流程内部步骤，计算分离胶/浓缩胶配方。","选择胶浓度/规格/块数并生成配胶表。","胶浓度；胶体积；块数；acrylamide stock；buffer；APS/TEMED 参数。","胶规格卡；配方参数卡；安全提示卡。","分离胶/浓缩胶配方表；每组分体积；步骤提示。","配方参数缺失；体积不合理；安全提示。","复制配方；保存 WB step record future；导出 disabled。","最近配胶记录 shell。","无记录时显示 empty_history。","labtools; status; empty_states","No active SDS-PAGE backend in UIShell; future WB gel recipe adapter needed.","planned","与 WB loading 同属 Western Blot 流程；使用表格式配方结果和 warning banner。","P1","P2","不作为通用计算器；不作为蛋白实验独立一级工具。","后续可与 lane layout 联动。"
"LAB-007","BCA / OD 记录","BCA and OD Record","BCA / OD 记录 / Protein Quantification","记录 BCA 标准曲线、OD 读数和样本浓度结果。","导入或录入 OD 值，预览标准曲线边界。","标准品浓度；OD 读数；样本读数；稀释倍数；plate position optional。","标准曲线参数卡；重复孔规则卡；blank 扣除卡。","读数表；重复孔均值；浓度结果 placeholder；curve preview gated。","缺标准品；读数异常；拟合后端未完成提示。","复制表格；保存记录 future；导出 disabled。","BCA 记录历史 shell。","无读数时显示 empty_result。","labtools; status; empty_states","No active BCA backend in UIShell; future plate-reader/basic curve adapter needed.","planned","表格优先布局：左侧 plate/table，右侧标准曲线与结果；显示 planned/testing boundary。","P1","P2","不放入通用计算器；不放入 ELISA；不做完整曲线拟合除非后端完成。","OD 是底层读数形式，不是独立入口。"
"LAB-008","PCR / qPCR 工具","PCR and qPCR Tools","PCR / qPCR 工具 / PCR and qPCR","提供 PCR/qPCR 体系、程序、引物和 qPCR plate layout 的规划入口。","选择 PCR 或 qPCR 并填写反应体系。","实验类型；引物选择；反应体积；template；enzyme/master mix；cycle program；qPCR plate grid optional。","引物记录卡；反应体系卡；PCR 程序卡；qPCR plate layout 卡。","反应体系表；plate layout preview; ΔCt/ΔΔCt future placeholder。","引物缺失；plate layout 不完整；qPCR 结果处理后端未完成。","复制体系；保存记录 future；导出 disabled。","PCR/qPCR 历史记录 shell。","无引物/无记录时显示 empty_missing_resource/empty_history。","labtools; status; empty_states","No active PCR/qPCR backend in UIShell; future primer registry and protocol adapter needed.","planned","分段/segmented control：PCR、qPCR；qPCR 页面包含 96-well grid mockup。","P1","P3","PCR/qPCR 分开；不放入通用计算器；不启用自动结果分析。","引物 registry 是未来共享后端。"
"LAB-009","ELISA / 吸光度工具","ELISA and Absorbance Tools","ELISA / 吸光度 / ELISA and Absorbance","ELISA 工作流边界页，记录 plate layout、OD 和结果表 shell。","选择 ELISA workflow 并录入 plate/readings。","kit info；standards；samples；plate layout；OD readings；dilution factors。","试剂盒信息卡；plate layout 卡；blank 扣除卡；标准曲线边界卡。","OD table；standard curve placeholder；sample concentration placeholder。","完整曲线拟合未完成；读数缺失；样本布局冲突。","复制记录；保存 record future；导出 disabled。","ELISA 记录历史 shell。","无 OD 数据时显示 empty_result。","labtools; status; empty_states","No active ELISA backend in UIShell; future ELISA/plate-reader adapter needed.","planned","MVP 边界页：上方 workflow steps，中间 plate/table，右侧 gated result panel。","P1","P3","不把 MTT/CCK-8/AlamarBlue 放入 ELISA；不声明完整曲线拟合已可用。","如后端未完成，只做 shell/MVP boundary。"
"LAB-010","细胞实验记录模板","Cell Experiment Record Templates","细胞实验记录模板 / Cell Records","作为细胞实验模块入口，展示细胞档案、操作记录和功能实验模板。","选择记录类型或新建记录。","cell line；passage；operator；date；experiment type。","细胞档案卡；操作类型卡；模板说明卡。","记录模板预览；最近记录摘要。","缺细胞档案；记录字段未配置；image analysis 仅 Settings linked。","保存记录 future；复制模板；导出 disabled。","细胞记录历史 shell。","无细胞档案时显示 empty_project。","labtools; empty_states; status","No active cell record backend in UIShell; future local cell record adapter needed.","planned","首页式布局：细胞档案摘要 + 操作记录 cards + 最近记录 table。","P0","P2","不设独立图像与结果分析二级入口；不做云协作。","UI-C1c 重点 record-template mockup。"
