resource_id,semantic_key,candidate_svg_path,gating_decision,pilot_allowed,active_usage_allowed,allowed_surface,required_label,required_tooltip,disabled_state_required,must_preserve_semantic_key,must_preserve_status_key,must_preserve_gate,blocker_reason,notes
status_testing,feature.status.testing,docs/ui/icon_production/status/svg/status_testing.svg,pilot_allowed,true,true,status_chip_only,Testing / 测试中,Testing-level only; not a formal or production-ready capability.,true,true,true,true,Allowed only as an inline status chip marker with visible label and unchanged feature status.,"Semantic gating review only; does not change active assets, active loader, feature availability, analysis gates, report gates, or business logic."
status_planned,feature.status.planned,docs/ui/icon_production/status/svg/status_planned.svg,pilot_allowed,true,true,status_chip_only,Planned / 后续开放,Planned only; not runnable and not currently available.,true,true,true,true,Allowed only as an inline status chip marker with visible label and unchanged planned status.,"Semantic gating review only; does not change active assets, active loader, feature availability, analysis gates, report gates, or business logic."
status_shell_only,feature.status.shell_only,docs/ui/icon_production/status/svg/status_shell_only.svg,pilot_allowed,true,true,status_chip_only,Shell only / 壳层,UI shell only; no business implementation is implied.,true,true,true,true,Allowed only as an inline status chip marker with visible label and unchanged shell-only status.,"Semantic gating review only; does not change active assets, active loader, feature availability, analysis gates, report gates, or business logic."
status_developer_preview,feature.status.developer_preview,docs/ui/icon_production/status/svg/status_developer_preview.svg,pilot_allowed,true,true,status_chip_only,Developer Preview / 本地测试版,Developer preview only; ordinary user production capability is not implied.,true,true,true,true,Allowed only as an inline status chip marker with visible label and unchanged developer-preview status.,"Semantic gating review only; does not change active assets, active loader, feature availability, analysis gates, report gates, or business logic."
status_blocked,feature.status.blocked,docs/ui/icon_production/status/svg/status_blocked.svg,pilot_allowed,true,true,blocked_status_chip_only,Blocked / 已阻塞,Blocked by missing input resolver dependency or precondition; action remains unavailable.,true,true,true,true,Allowed only as a blocked status chip marker with visible label and unchanged gate.,"Semantic gating review only; does not change active assets, active loader, feature availability, analysis gates, report gates, or business logic."
status_available,resource.status.available,docs/ui/icon_production/status/svg/status_available.svg,conditional_pilot_allowed,true,true,detected_resource_status_chip_only,Available / 可用,Detected resource available only; icon does not install configure or enable a resource.,true,true,true,true,Allowed only after existing detect-first state already reports resource.status.available; never as install or cloud enablement proof.,"Semantic gating review only; does not change active assets, active loader, feature availability, analysis gates, report gates, or business logic."
status_not_configured,resource.status.not_configured,docs/ui/icon_production/status/svg/status_not_configured.svg,pilot_allowed,true,true,resource_status_chip_only,Not configured / 未配置,Resource is not configured; install update or cloud setup remains user-triggered and gated.,true,true,true,true,Allowed only as a resource status chip marker with visible label and unchanged detect-first semantics.,"Semantic gating review only; does not change active assets, active loader, feature availability, analysis gates, report gates, or business logic."
status_failed,resource.status.failed,docs/ui/icon_production/status/svg/status_failed.svg,pilot_allowed,true,true,resource_status_chip_only,Failed / 失败,Detection or resource check failed; icon does not imply permanent loss or formal analysis failure.,true,true,true,true,Allowed only as a resource status chip marker with visible label and unchanged failure state.,"Semantic gating review only; does not change active assets, active loader, feature availability, analysis gates, report gates, or business logic."
status_preflight_only,analysis.status.preflight_only,docs/ui/icon_production/status/svg/status_preflight_only.svg,pilot_allowed,true,true,analysis_status_chip_only,Preflight only / 仅预检,Preflight-only analysis surface; no formal DEG GSEA survival clinical or report-ready result.,true,true,true,true,Allowed only as an analysis status chip marker with visible label and unchanged preflight gate.,"Semantic gating review only; does not change active assets, active loader, feature availability, analysis gates, report gates, or business logic."
status_draft,report.status.draft,docs/ui/icon_production/status/svg/status_draft.svg,pilot_allowed,true,true,report_status_chip_only,Draft / 草稿,Draft report only; not report-ready and not a formal export package.,true,true,true,true,Allowed only as a report status chip marker with visible label and unchanged draft/report gate.,"Semantic gating review only; does not change active assets, active loader, feature availability, analysis gates, report gates, or business logic."
