resource_id,semantic_key,gating_decision,active_pilot,replacement_state,active_asset_path,active_png_24_path,active_png_32_path,active_png_48_path,active_png_64_path,allowed_surface,must_preserve_gate,blocked_or_future_reason,notes
result_overview,result.semantic.testing_summary_only,pilot_allowed,true,pilot_only,assets/icons/result_report_export/result_overview.svg,assets/icons/result_report_export/result_overview_24.png,assets/icons/result_report_export/result_overview_32.png,assets/icons/result_report_export/result_overview_48.png,assets/icons/result_report_export/result_overview_64.png,page_region_marker_only,true,,"Active marker/helper pilot only; no report/export actions, fake chart/statistics, status icons, App icon, or semantic gate changes."
result_chart,result.semantic.testing_summary_only,disabled_affordance_only,false,disabled_affordance_only,,,,,,future_chart_placeholder_only,true,"High risk of implying formal result, fake chart/statistics, enabled export, sharing, archive, or report-ready capability.","Active marker/helper pilot only; no report/export actions, fake chart/statistics, status icons, App icon, or semantic gate changes."
result_table,result.semantic.testing_summary_only,pilot_allowed,true,pilot_only,assets/icons/result_report_export/result_table.svg,assets/icons/result_report_export/result_table_24.png,assets/icons/result_report_export/result_table_32.png,assets/icons/result_report_export/result_table_48.png,assets/icons/result_report_export/result_table_64.png,page_region_marker_only,true,,"Active marker/helper pilot only; no report/export actions, fake chart/statistics, status icons, App icon, or semantic gate changes."
result_statistics,analysis.status.testing_level,disabled_affordance_only,false,disabled_affordance_only,,,,,,future_statistics_placeholder_only,true,"High risk of implying formal result, fake chart/statistics, enabled export, sharing, archive, or report-ready capability.","Active marker/helper pilot only; no report/export actions, fake chart/statistics, status icons, App icon, or semantic gate changes."
result_summary,result.semantic.testing_summary_only,pilot_allowed,true,pilot_only,assets/icons/result_report_export/result_summary.svg,assets/icons/result_report_export/result_summary_24.png,assets/icons/result_report_export/result_summary_32.png,assets/icons/result_report_export/result_summary_48.png,assets/icons/result_report_export/result_summary_64.png,page_region_marker_only,true,,"Active marker/helper pilot only; no report/export actions, fake chart/statistics, status icons, App icon, or semantic gate changes."
report_generate,report.status.draft,blocked_until_function_ready,false,blocked_until_function_ready,,,,,,none,true,"High risk of implying formal result, fake chart/statistics, enabled export, sharing, archive, or report-ready capability.","Active marker/helper pilot only; no report/export actions, fake chart/statistics, status icons, App icon, or semantic gate changes."
report_template,report.status.draft,pilot_allowed,true,pilot_only,assets/icons/result_report_export/report_template.svg,assets/icons/result_report_export/report_template_24.png,assets/icons/result_report_export/report_template_32.png,assets/icons/result_report_export/report_template_48.png,assets/icons/result_report_export/report_template_64.png,draft_template_marker_only,true,,"Active marker/helper pilot only; no report/export actions, fake chart/statistics, status icons, App icon, or semantic gate changes."
export_result,report.export_panel,blocked_until_function_ready,false,blocked_until_function_ready,,,,,,none,true,"High risk of implying formal result, fake chart/statistics, enabled export, sharing, archive, or report-ready capability.","Active marker/helper pilot only; no report/export actions, fake chart/statistics, status icons, App icon, or semantic gate changes."
export_pdf,report.export_panel,blocked_until_function_ready,false,blocked_until_function_ready,,,,,,none,true,"High risk of implying formal result, fake chart/statistics, enabled export, sharing, archive, or report-ready capability.","Active marker/helper pilot only; no report/export actions, fake chart/statistics, status icons, App icon, or semantic gate changes."
export_excel,export.format.xlsx,blocked_until_function_ready,false,blocked_until_function_ready,,,,,,none,true,"High risk of implying formal result, fake chart/statistics, enabled export, sharing, archive, or report-ready capability.","Active marker/helper pilot only; no report/export actions, fake chart/statistics, status icons, App icon, or semantic gate changes."
export_csv,export.format.csv,blocked_until_function_ready,false,blocked_until_function_ready,,,,,,none,true,"High risk of implying formal result, fake chart/statistics, enabled export, sharing, archive, or report-ready capability.","Active marker/helper pilot only; no report/export actions, fake chart/statistics, status icons, App icon, or semantic gate changes."
export_archive,report.export_panel,future_only,false,future_only,,,,,,none,true,"High risk of implying formal result, fake chart/statistics, enabled export, sharing, archive, or report-ready capability.","Active marker/helper pilot only; no report/export actions, fake chart/statistics, status icons, App icon, or semantic gate changes."
share_result,report.export_panel,future_only,false,future_only,,,,,,none,true,"High risk of implying formal result, fake chart/statistics, enabled export, sharing, archive, or report-ready capability.","Active marker/helper pilot only; no report/export actions, fake chart/statistics, status icons, App icon, or semantic gate changes."
result_clear,report.export_panel,pilot_allowed,true,pilot_only,assets/icons/result_report_export/result_clear.svg,assets/icons/result_report_export/result_clear_24.png,assets/icons/result_report_export/result_clear_32.png,assets/icons/result_report_export/result_clear_48.png,assets/icons/result_report_export/result_clear_64.png,disabled_helper_icon_only,true,,"Active marker/helper pilot only; no report/export actions, fake chart/statistics, status icons, App icon, or semantic gate changes."
