target,source_ref,target_ref,merge_base,scope_item,file_or_commit,current_in_source,current_in_target,carryover_status,conflict_risk,recommended_action,notes
Integration,dev/ui-shell,dev/integration,fd2d04e90a25,UI-C2b navigation shell,3bf79f4,yes,no,needs_carryover,high,manual_reconcile,"Depends on prior global shell and LabTools IA work; do not cherry-pick alone"
Integration,dev/ui-shell,dev/integration,fd2d04e90a25,UI-C2c general calculator,ca006ee,yes,no,needs_carryover,high,manual_reconcile,"Requires app/labtools_runtime.py and current app/shell/main_window.py structure"
Integration,dev/ui-shell,dev/integration,fd2d04e90a25,UI-C2d reagent preparation,f18b9a0,yes,no,needs_carryover,high,manual_reconcile,"Preview-only; no store writes; depends on C2b/C2c"
Integration,dev/ui-shell,dev/integration,fd2d04e90a25,UI-C2e WB loading,a33cffe,yes,no,needs_carryover,high,manual_reconcile,"Preview-only; depends on runtime bridge and experiment module routing"
Integration,dev/ui-shell,dev/integration,fd2d04e90a25,UI-C2f boundary pages,00f4ec6,yes,no,needs_carryover,high,manual_reconcile,"Boundary pages depend on experiment module routing"
Integration,dev/ui-shell,dev/integration,fd2d04e90a25,UI-C2g closure audit,6072aec,yes,no,docs_carryover,low,copy_or_cherry_pick_after_code,"Documentation can move after target status is reconciled"
Integration,dev/ui-shell,dev/integration,fd2d04e90a25,LabTools runtime bridge,app/labtools_runtime.py,exists,missing,needs_addition,medium,add_with_tests,"No target file exists; bridge must remain read-only and must not create stores"
Integration,dev/ui-shell,dev/integration,fd2d04e90a25,MainWindow LabTools UI,app/shell/main_window.py,modified,modified,manual_merge_required,high,manual_reconcile,"merge-tree reports changed-in-both and conflict markers"
Integration,dev/ui-shell,dev/integration,fd2d04e90a25,Semantic key registry,app/shared/semantic_keys.py,exists,missing,needs_addition_or_reconcile,medium,compare_target_shared_keys,"Required for module/page/status semantics"
Integration,dev/ui-shell,dev/integration,fd2d04e90a25,Focused LabTools tests,tests/ui/test_labtools_*.py,exists,missing,needs_addition,medium,add_after_runtime_merge,"Tests should gate carry-over before packaging"
MainLine worktree,dev/ui-shell,codex/mainline-survival-clinical-carryover,67e5b138ae38,UI-C2b navigation shell,3bf79f4,yes,no,needs_carryover,high,manual_reconcile,"MainLine also has local UI/theme carry-over commits"
MainLine worktree,dev/ui-shell,codex/mainline-survival-clinical-carryover,67e5b138ae38,UI-C2c general calculator,ca006ee,yes,no,needs_carryover,high,manual_reconcile,"Requires app/labtools_runtime.py and current shell structure"
MainLine worktree,dev/ui-shell,codex/mainline-survival-clinical-carryover,67e5b138ae38,UI-C2d reagent preparation,f18b9a0,yes,no,needs_carryover,high,manual_reconcile,"Preview-only; no store writes; depends on C2b/C2c"
MainLine worktree,dev/ui-shell,codex/mainline-survival-clinical-carryover,67e5b138ae38,UI-C2e WB loading,a33cffe,yes,no,needs_carryover,high,manual_reconcile,"Preview-only; depends on experiment module routing"
MainLine worktree,dev/ui-shell,codex/mainline-survival-clinical-carryover,67e5b138ae38,UI-C2f boundary pages,00f4ec6,yes,no,needs_carryover,high,manual_reconcile,"Boundary pages depend on C2b/C2e"
MainLine worktree,dev/ui-shell,codex/mainline-survival-clinical-carryover,67e5b138ae38,UI-C2g closure audit,6072aec,yes,no,docs_carryover,low,copy_or_cherry_pick_after_code,"Documentation can move after target status is reconciled"
MainLine worktree,dev/ui-shell,codex/mainline-survival-clinical-carryover,67e5b138ae38,LabTools runtime bridge,app/labtools_runtime.py,exists,missing,needs_addition,medium,add_with_tests,"No target file exists; bridge must remain read-only"
MainLine worktree,dev/ui-shell,codex/mainline-survival-clinical-carryover,67e5b138ae38,MainWindow LabTools UI,app/shell/main_window.py,modified,modified,manual_merge_required,high,manual_reconcile,"merge-tree reports changed-in-both and conflict markers"
MainLine worktree,dev/ui-shell,codex/mainline-survival-clinical-carryover,67e5b138ae38,Semantic key registry,app/shared/semantic_keys.py,exists,missing,needs_addition_or_reconcile,medium,compare_target_shared_keys,"Required for module/page/status semantics"
MainLine worktree,dev/ui-shell,codex/mainline-survival-clinical-carryover,67e5b138ae38,Focused LabTools tests,tests/ui/test_labtools_*.py,exists,missing,needs_addition,medium,add_after_runtime_merge,"Tests should gate carry-over before packaging"
stable/mainline,dev/ui-shell,stable/mainline,67e5b138ae38,MainLine stable pointer,stable/mainline,branch_exists,not_current_worktree,reference_only,medium,do_not_overwrite_blindly,"MainLine worktree is not checked out on stable/mainline; audit treats codex/mainline-survival-clinical-carryover as current MainLine worktree"
