page_id,module,runtime_screenshot,mockup_reference,gap_severity,layout_structure_gap,sidebar_nav_gap,content_density_gap,component_gap,misleading_affordance_gap,recommended_action,next_stage,notes
dashboard_home,Dashboard,docs/ui/runtime_screenshots/20260524/dashboard_home.png,/Users/changdali/Desktop/UI/界面示意图/IMG-02 Dashboard : 工作台首页.png,medium,"Runtime has basic module cards but lacks mockup-level hierarchy and polished header metrics.","App sidebar is stable but typography and icon treatment are simpler than mockup.",medium,"Cards/buttons/icons use mixed native styling instead of shared workbench components.",low,local_polish,UI-C5e_or_C5g,"Can be locally polished after primitives exist; not a skeleton rewrite blocker."
labtools_home,LabTools,docs/ui/runtime_screenshots/20260524/labtools_home.png,/Users/changdali/Desktop/UI/界面示意图/IMG-04 LabTools : 实验工具首页.png,medium,"Three-entry IA is correct but runtime cards are simpler and less balanced than mockup.","Sidebar is stable; module-local entry proportions need normalization.",medium,"Status chips/cards/quick access lack shared spacing and visual rhythm.",low,local_polish,UI-C5d,"Keep IA; polish with shared card/chip/action primitives."
labtools_general_calculator,LabTools,docs/ui/runtime_screenshots/20260524/labtools_general_calculator.png,/Users/changdali/Desktop/UI/界面示意图/labtools/Quick Calculator + Dynamic Formula Solver.png,high,"Runtime form/result panels are dense and native-looking; mockup expects calmer two-mode calculator layout.","Secondary navigation exists but not proportioned as workbench rail + main content.",high,"Inputs,tables,buttons,notice rows lack unified component styling.",medium,extract_primitives_then_rebuild,UI-C5d,"Needs primitives before meaningful polish."
labtools_reagent_preparation,LabTools,docs/ui/runtime_screenshots/20260524/labtools_reagent_preparation.png,/Users/changdali/Desktop/UI/界面示意图/labtools/2. Reagent Template + Preparation Workflow.png,critical,"Runtime three-column layout overflows horizontally and compresses; mockup uses controlled list/main/editor proportions.","No stable inner rail/right editor contract; first viewport crops actions.",critical,"Native tables/inputs/buttons dominate; status and notices do not share mockup component language.",medium,rebuild_layout_skeleton,UI-C5d,"Patch-level fixes will not solve width/scroll pressure."
labtools_wb_loading,LabTools,docs/ui/runtime_screenshots/20260524/labtools_wb_loading.png,/Users/changdali/Desktop/UI/界面示意图/labtools/图 2：WB lane : warning detail.png,critical,"Runtime WB page is too dense and horizontally clipped; mockup expects config/sample/result/lane panels with controlled widths.","Protein substep bar and panels compete for space; right lane panel is clipped.",critical,"Lane cards, warning rows, result table, action bar need shared components.",low,rebuild_layout_skeleton,UI-C5d,"Keep gate and warning semantics; rebuild first viewport skeleton."
labtools_experiment_boundaries,LabTools,docs/ui/runtime_screenshots/20260524/labtools_experiment_boundaries.png,/Users/changdali/Desktop/UI/界面示意图/labtools/图 5：Cell Experiment Workspace : 细胞实验工作区.png,medium,"Boundary cards render but do not match richer mockup workspace structure.","Module-local navigation is acceptable but card wrapping needs consistency.",medium,"Boundary cards and disabled action rows need unified primitive styling.",low,local_polish,UI-C5d,"Can be improved after primitives; no executor change needed."
bioinformatics_project_home,Bioinformatics,docs/ui/runtime_screenshots/20260524/bioinformatics_project_home.png,/Users/changdali/Desktop/UI/界面示意图/bioinformatics/Bioinformatics_Project_Home_Workflow_Overview_candidate_v2_20260522.png,medium,"Runtime 7-step shell is correct but lacks mockup's project summary composition and dashboard card hierarchy.","Workflow nav is functional but overly large and table-like.",medium,"Status chips/tables/cards are not visually unified.",low,local_polish,UI-C5e,"IA and gates are acceptable; polish structure only."
bioinformatics_data_source,Bioinformatics,docs/ui/runtime_screenshots/20260524/bioinformatics_data_source.png,/Users/changdali/Desktop/UI/界面示意图/bioinformatics/Bioinformatics_Data_Source_Selection_candidate_v2_20260522.png,medium,"Runtime page opens but source cards and status overview are less structured than mockup.","7-step nav consumes substantial vertical space.",medium,"Source cards and disabled import controls need shared component styling.",low,local_polish,UI-C5e,"No formal import/execution should be enabled."
bioinformatics_analysis_tasks,Bioinformatics,docs/ui/runtime_screenshots/20260524/bioinformatics_analysis_tasks.png,/Users/changdali/Desktop/UI/界面示意图/bioinformatics/Bioinformatics_Analysis_Tasks_DEG_Preflight_candidate_20260522.png,high,"Runtime gate matrix is clipped/scroll-heavy; mockup expects task cards plus focused DEG review panel.","Workflow nav plus tables compress the first viewport.",high,"Task matrix/table/action gates lack polished card/table primitives.",low,rebuild_layout_skeleton,UI-C5e,"Preserve all disabled/gated formal actions."
bioinformatics_result_export,Bioinformatics,docs/ui/runtime_screenshots/20260524/bioinformatics_result_export.png,/Users/changdali/Desktop/UI/界面示意图/bioinformatics/Bioinformatics_Result_Report_Export_Gate_candidate_v2_20260522.png,high,"Runtime export page is diagnostic-heavy; mockup expects clear result/report/export gate panels.","7-step nav is stable but page content lacks right gate hierarchy.",high,"Export buttons, JSON block, tables need workbench gate components.",high,rebuild_layout_skeleton,UI-C5e,"Open report file/folder affordances may mislead while report/export gates are disabled."
