scenario,area,current_behavior,error_state,write_allowed,file_picker_required,home_labtools_allowed,scope_result,notes
file_picker_cancel,reagent_preparation,"shows cancellation message; no write",non_blocking,false,true,false,hardened,"Message says export canceled and no file was written."
file_picker_cancel,wb_loading,"shows cancellation message; no write",non_blocking,false,true,false,hardened,"Message says export canceled and no file was written."
missing_suffix,reagent_preparation,"appends .md or .csv",not_error,true,true,false,covered,"Write is allowed only after user-selected file-picker path."
missing_suffix,wb_loading,"appends .md or .csv",not_error,true,true,false,covered,"Write is allowed only after user-selected file-picker path."
home_labtools_path,reagent_preparation,"runtime writer rejects ~/.labtools",blocking_error,false,true,false,covered,"No file is written under ~/.labtools."
home_labtools_path,wb_loading,"runtime writer rejects ~/.labtools",blocking_error,false,true,false,hardened,"UI error row shows refusal message."
corrupt_history_json,reagent_preparation,"history panel shows JSON read failure",blocking_error,false,not_applicable,false,covered,"No crash and no silent overwrite."
corrupt_history_json,wb_loading,"history panel shows JSON read failure",blocking_error,false,not_applicable,false,covered,"No crash and no silent overwrite."
missing_project_context,reagent_template,"save disabled",disabled_missing_storage_adapter,false,not_applicable,false,preserved,"No fallback to ~/.labtools."
missing_project_context,reagent_preparation,"save/history disabled",disabled_missing_storage_adapter,false,not_applicable,false,preserved,"Export remains file-picker only."
missing_project_context,wb_loading,"save/history disabled",disabled_missing_storage_adapter,false,not_applicable,false,preserved,"Export remains file-picker only."
non_pilot_export,quick_calculator,"export disabled",disabled_or_future,false,false,false,preserved,"No calculator history/export."
non_pilot_export,bca_od,"export disabled",boundary_disabled,false,false,false,preserved,"No BCA formal export."
non_pilot_export,cell_experiment,"export disabled",backend_missing_disabled,false,false,false,preserved,"No cell record export."
non_pilot_export,elisa_immuno_absorbance,"export disabled",blocked_until_backend,false,false,false,preserved,"No ELISA export."
non_pilot_export,image_processing,"export disabled",external_engine_adapter_missing,false,false,false,preserved,"No ImageJ/Fiji result export."
pdf_docx,all_labtools,"disabled or absent",future,false,false,false,preserved,"No PDF/DOCX writer enabled."
