area,screen_or_capability,implementation_stage,current_runtime_status,backend_or_bridge,copy_state,save_state,export_state,history_state,boundary_status,test_coverage,evidence_commit,next_stage
LabTools IA,Home and first-level navigation,UI-C2b,implemented_runtime_ui,"PySide shell/cards only",not_applicable,not_applicable,not_applicable,empty_shell,"exactly three entries: General Calculator / Reagent Preparation / Experiment Modules","tests/ui/test_labtools_shell.py; tests/ui/test_labtools_navigation_shell.py; tests/ui/test_module_selection.py; tests/ui/test_sidebar.py",3bf79f4,"Keep IA stable; no ImageJ/Fiji first-level entry"
LabTools IA,Experiment Modules routing,UI-C2b plus C2e/C2f,implemented_runtime_ui,"PySide route callbacks",not_applicable,disabled_or_adapter_needed,disabled_or_adapter_needed,empty_shell,"secondary pages render safely","tests/ui/test_labtools_navigation_shell.py; tests/ui/test_labtools_boundary_pages.py; tests/ui/test_labtools_wb_loading_ui.py",3bf79f4; a33cffe; 00f4ec6,"Can proceed to adapter planning or integration carry-over audit"
General Calculator,Quick Calculator,UI-C2c,implemented_runtime_ui,"read-only app.labtools_runtime bridge to list_quick_tasks/get_quick_task/execute_quick_task",active,disabled_missing_storage_adapter,future_or_disabled,disabled_missing_storage_adapter,"calculation aid only; no experiment records","tests/ui/test_labtools_general_calculator_ui.py",ca006ee,"Future CalculationRecordStore/storage adapter before history"
General Calculator,Dynamic Formula Solver,UI-C2c,implemented_runtime_ui,"read-only app.labtools_runtime bridge to formula specs and solvers",active,disabled_missing_storage_adapter,future_or_disabled,disabled_missing_storage_adapter,"solver output is review-needed aid","tests/ui/test_labtools_general_calculator_ui.py",ca006ee,"Future export/file-picker and history adapter"
General Calculator,Forbidden cross-module content,UI-C2c,closed_boundary,"UI tests assert absence",not_applicable,not_applicable,not_applicable,not_applicable,"WB/BCA/ELISA/cell records are not mixed into General Calculator","tests/ui/test_labtools_general_calculator_ui.py; tests/ui/test_labtools_navigation_shell.py",ca006ee,"Keep regression coverage"
Reagent Preparation,Template list / detail / editor side panel,UI-C2d,implemented_preview_only,"in-memory PBS 1x demo template through read-only runtime bridge",summary_copy_only,disabled_missing_storage_adapter,disabled_missing_file_picker,disabled_missing_storage_adapter,"no ReagentTemplateStore; no inventory/cloud/batch/collaboration","tests/ui/test_labtools_reagent_preparation_ui.py",f18b9a0,"Storage adapter required before template save"
Reagent Preparation,Preparation run preview,UI-C2d,implemented_preview_only,"calculate_preparation() preview only",active,disabled_missing_storage_adapter,disabled_missing_file_picker,disabled_missing_storage_adapter,"no PreparationRecordStore; no default ~/.labtools write","tests/ui/test_labtools_reagent_preparation_ui.py",f18b9a0,"PreparationRecordStore only through BioMedPilotLabToolsStorageAdapter"
Protein Experiment,Western Blot Loading focused page,UI-C2e,implemented_preview_only,"read-only calculate_wb_loading() bridge with in-memory S1/S2/S3 data",active,disabled_missing_storage_adapter,disabled_missing_file_picker,disabled_missing_storage_adapter,"lane preview only; no fake gel bands/image analysis/antibody recommendation","tests/ui/test_labtools_wb_loading_ui.py",a33cffe,"WBLoadingRecordStore and export helpers require storage/file picker adapters"
Protein Experiment,SDS-PAGE boundary,UI-C2f,boundary_shell_only,"static adapter-needed layout",disabled,disabled_missing_storage_adapter,disabled_missing_file_picker,disabled_missing_storage_adapter,"placeholder/subpage only; XLSX export disabled","tests/ui/test_labtools_boundary_pages.py",00f4ec6,"Later SDS-PAGE adapter-safe implementation"
Immuno/Absorbance,BCA / OD MVP boundary,UI-C2f,implemented_preview_only,"static 8x12 matrix and fit-summary preview",disabled,disabled_backend_missing,disabled_missing_file_picker,disabled_missing_storage_adapter,"testing/MVP only; no ELISA/4PL/formal report/clinical quantification","tests/ui/test_labtools_boundary_pages.py",00f4ec6,"Needs BCA record/export model before save/export"
Cell Experiments,Cell Experiment Workspace,UI-C2f,boundary_shell_only,"static three-zone shell",disabled,disabled_backend_missing,disabled_backend_missing,disabled_missing_storage_adapter,"no cell record store; no fake records/timeline; ImageJ/Fiji only Settings-linked","tests/ui/test_labtools_boundary_pages.py; tests/ui/test_labtools_navigation_shell.py",00f4ec6,"Needs cell profile/state/store adapter"
Immuno/Absorbance,ELISA / Immuno-Absorbance boundary,UI-C2f,blocked_until_backend,"static blocked boundary",disabled,disabled_backend_missing,disabled_backend_missing,disabled_backend_missing,"ELISA backend missing; no active 4PL/formal report/production save/export","tests/ui/test_labtools_boundary_pages.py; tests/ui/test_labtools_navigation_shell.py",00f4ec6,"Needs ELISA MVP backend before runtime UI"
Image Processing,Image Processing Workspace boundary,UI-C2f,boundary_shell_only,"static external-engine boundary",disabled,disabled_missing_storage_adapter,disabled_missing_file_picker,disabled_missing_storage_adapter,"ImageJ/Fiji Settings-linked only; no macro surface/auto ROI/cell counting/band recognition/IHC scoring","tests/ui/test_labtools_boundary_pages.py; tests/ui/test_labtools_navigation_shell.py",00f4ec6,"Needs external engine adapter and result model"
Shared UI,Review notices and warning rows,UI-C2c-C2f,implemented_runtime_ui,"page-specific view rows plus status chips",active_where_safe,disabled_or_adapter_needed,disabled_or_adapter_needed,disabled_or_adapter_needed,"warnings remain visible; no fake success states","tests/ui/test_labtools_general_calculator_ui.py; tests/ui/test_labtools_reagent_preparation_ui.py; tests/ui/test_labtools_wb_loading_ui.py; tests/ui/test_labtools_boundary_pages.py",ca006ee; f18b9a0; a33cffe; 00f4ec6,"Consolidate into shared LabTools result/warning view model in future"
