area,current_status,runtime_ui_completion,enabled_user_actions,disabled_or_gated_actions,remaining_backend_or_adapter_work,packaging_or_b10_touched,notes
ordinary_icon_system,closed_active_pilot,active_in_app_icons,"module/page/settings/status/empty/result marker rendering with fallbacks","App icon; Finder icon; .icns; iconset; Info.plist; LaunchServices","UI-B10 desktop identity stage",false,"B8b9 closed ordinary icon replacement; desktop icon binding remains deferred."
labtools_shell,implemented_runtime_ui,high,"navigate three first-level entries; open secondary pages","ImageJ/Fiji first-level entry; hidden business enablement","future registry cleanup optional",false,"Three-entry IA is stable: General Calculator, Reagent Preparation, Experiment Modules."
labtools_general_calculator,implemented_runtime_ui,high,"quick calculation; formula solving; copy result","history; export; file write","CalculationRecordStore and export adapter not enabled",false,"Runtime calculator UI is active but persistence/export is disabled."
labtools_reagent,implemented_runtime_ui_with_adapter_pilot,medium_high,"template save; preparation save/history; copy summary; markdown/csv export through file picker","PDF/DOCX; hardcoded export; ~/.labtools; inventory/cloud/batch/collaboration","broader storage UX and error-state hardening",false,"Only BioMedPilot project_storage and file picker exports are allowed."
labtools_wb_loading,implemented_runtime_ui_with_adapter_pilot,medium_high,"WB loading preview; save/history; copy; markdown/csv export through file picker","SDS-PAGE; image analysis; band quantification; PDF/DOCX; hardcoded export","broader WB workflow adapters",false,"WB page is focused on loading calculation and lane helper only."
labtools_boundary_modules,boundary_or_preview_only,medium,"view SDS-PAGE/BCA/Cell/ELISA/Image Processing boundary pages","save; export; history; run analysis; ImageJ/Fiji runner; ELISA backend","BCA store; Cell record store; ELISA backend; external engine adapter",false,"Boundary pages are intentionally not production workflows."
bioinformatics_gated_workflow,implemented_gated_ui,high_for_shell,"navigate 7-step IA; view gates; edit/view drafts; copy/read previews","formal DEG; ORA/GSEA; KM/Cox/survival; report; export","formal executor carry-over readiness and report/export adapters",false,"UI flow complete as gated shell, not formal analysis runtime."
meta_analysis_gated_workflow,implemented_gated_ui,medium_high,"navigate workflow; draft question/search/reference/screening/extraction/RoB; view result/report/export gates","Pairwise Meta; Network Meta; forest plot; pooled effect; report-ready; export","Meta runtime adapter and executor readiness",false,"Most gated pages are implemented; analysis tasks remain planned-disabled."
settings_shared_ui,integrated_for_current_runtime,medium_high,"resource markers; status chips; empty states; shared result/report/export gate display","install/download/cloud/model/OCR enablement by UI","future external capability adapters",false,"Shared UI supports current gated workflows without changing capability semantics."
desktop_packaging_identity,deferred,not_started,"source smoke only","package smoke; packaged app runtime; App icon; Finder icon; LaunchServices","UI-B10 required",false,"No packaged app or desktop identity work should be claimed complete yet."
