"resource_id","resource_path","resource_type","current_status","active_usage","placeholder_strategy","formal_design_needed","can_replace_now","next_stage","notes"
"app.main","assets/icons/app/biomedpilot_app_icon.png","app_window_icon","current_active","QApplication; MainWindow; Welcome icon fallback","continue_current_placeholder_until_packaging_stage","yes_brand_icon_refresh_after_freeze","no","UI-B10","Do not replace before App icon and desktop icon packaging plan."
"app.main.icns","assets/icons/app/biomedpilot_app_icon.icns","macos_icon_source","current_active_but_not_plist_bound","load_app_icon fallback; assets copied by packaging","continue_current_placeholder_until_packaging_stage","yes_brand_icon_refresh_after_freeze","no","UI-B10","Info.plist currently has no CFBundleIconFile or CFBundleIconName."
"app.iconset","assets/icons/app/biomedpilot_app_icon.iconset/*","app_icon_source_set","current_source","source set for current icon","continue_current_placeholder_until_packaging_stage","yes_brand_icon_refresh_after_freeze","no","UI-B10","Keep untouched until formal App icon work."
"module.bioinformatics","assets/icons/modules/bioinformatics_module_icon.png","module_icon","current_active","Dashboard module card","continue_active_low_fidelity","yes_restyle_with_module_icon_system","no","UI-B8-design-followup","Referenced by tests and active loader."
"module.meta_analysis","assets/icons/modules/meta_analysis_module_icon.png","module_icon","current_active","Dashboard module card","continue_active_low_fidelity","yes_restyle_with_module_icon_system","no","UI-B8-design-followup","Referenced by tests and active loader."
"module.labtools","missing: assets/icons/modules/labtools_module_icon.png","module_icon","missing","Dashboard falls back to UI-02 workspace icon","continue_workspace_fallback","yes_formal_labtools_module_icon","no","UI-B8-design-followup","Do not add unapproved icon art in B8 audit."
"module.settings","assets/icons/ui02_module_selection/settings.png","module_support_icon","current_active","Dashboard support panel; Settings button icon","continue_active_low_fidelity","yes_settings_subpage_icon_set","no","UI-B8-design-followup","Only covers generic Settings, not subpage resources."
"welcome.logo","missing: formal Firefly logo lockup","brand_logo","missing","Welcome/About use text and current app icon","text_brand_plus_current_app_icon_placeholder","yes_formal_logo_lockup","no","UI-B8-design-followup","Requires brand freeze before replacement."
"welcome.hero","missing: assets/images/welcome_main_visual.*","hero_visual","missing","No active image","text_only_low_fidelity","yes_formal_welcome_visual","no","UI-B8-design-followup","Do not reuse old login icons as hero art."
"about.visual","missing: assets/images/about_brand_visual.*","about_visual","missing","About is text/list-card only","text_only_low_fidelity","yes_formal_about_visual","no","UI-B8-design-followup","Needs brand story and visual style."
"ui01.brand","assets/icons/ui01_login/brand.png","login_icon","current_active_legacy","Welcome/About buttons and old login panel","continue_legacy_placeholder","yes_replace_after_welcome_design","no","UI-B8-design-followup","Part of old login icon set; keep until Welcome resource replacement is approved."
"ui01.user","assets/icons/ui01_login/user.png","login_icon","current_active_legacy","old login user field","continue_legacy_placeholder","no_for_new_welcome","no","legacy_retention","Should not drive new Welcome target."
"ui01.security","assets/icons/ui01_login/security.png","login_icon","current_active_legacy","old login password field","continue_legacy_placeholder","no_for_new_welcome","no","legacy_retention","Should not drive new Welcome target."
"ui01.login","assets/icons/ui01_login/login.png","login_button_icon","current_active_legacy","Welcome enter button","continue_legacy_placeholder","yes_if_auth_flow_returns","no","UI-B8-design-followup","Do not replace before Welcome behavior freezes."
"ui01.register","assets/icons/ui01_login/register.png","login_icon","current_active_legacy","registration placeholder","continue_legacy_placeholder","no_for_current_shell","no","legacy_retention","Target shell does not expose real account registration."
"ui01.forgot","assets/icons/ui01_login/forgot.png","login_icon","current_active_legacy","forgot password placeholder","continue_legacy_placeholder","no_for_current_shell","no","legacy_retention","Target shell does not expose real cloud account recovery."
"ui01.license","assets/icons/ui01_login/license.png","account_status_icon","current_active_legacy","account/license placeholder","continue_legacy_placeholder","yes_future_account_system","no","future_account_stage","Do not imply active subscription/license capability."
"ui01.vip","assets/icons/ui01_login/vip.png","account_status_icon","current_active_legacy","VIP/subscription placeholder","continue_legacy_placeholder","yes_future_account_system","no","future_account_stage","Do not imply active subscription capability."
"ui01.subscription","assets/icons/ui01_login/subscription.png","account_status_icon","generated_waiting","not actively connected as required slot","keep_waiting_placeholder","yes_future_account_system","no","future_account_stage","Generated but not part of current target shell."
"ui01.preview","assets/icons/ui01_login/preview.png","developer_preview_icon","generated_waiting","Welcome settings/about preview buttons; future preview marker","continue_placeholder","yes_status_icon_system","no","UI-B8-design-followup","May be replaced by formal status icon set later."
"ui02.dashboard","assets/icons/ui02_module_selection/dashboard.png","dashboard_icon","current_active","Dashboard header","continue_active_low_fidelity","yes_dashboard_icon_refresh","no","UI-B8-design-followup","Referenced by active loader and UI tests."
"ui02.settings","assets/icons/ui02_module_selection/settings.png","settings_icon","current_active","Dashboard support panel","continue_active_low_fidelity","yes_settings_icon_refresh","no","UI-B8-design-followup","Referenced by active loader and UI tests."
"ui02.developer_preview","assets/icons/ui02_module_selection/developer_preview.png","status_icon","current_active","Dashboard Developer Preview badge","continue_active_low_fidelity","yes_status_icon_system","no","UI-B8-design-followup","Formal status system should cover developer_preview/testing/planned/blocked."
"ui02.recent_projects","assets/icons/ui02_module_selection/recent_projects.png","dashboard_support_icon","current_active","Recent projects card","continue_active_low_fidelity","yes_project_icon_refresh","no","UI-B8-design-followup","Referenced by active loader and UI tests."
"ui02.local_environment","assets/icons/ui02_module_selection/local_environment.png","environment_icon","current_active","Environment status card","continue_active_low_fidelity","yes_settings_resource_icon_system","no","UI-B8-design-followup","May merge with Settings resource icon set."
"ui02.current_user","assets/icons/ui02_module_selection/current_user.png","account_icon","current_active","Dashboard session badge","continue_active_low_fidelity","yes_if_account_system_freezes","no","future_account_stage","Account UI remains low-fidelity."
"ui02.version","assets/icons/ui02_module_selection/version.png","version_icon","current_active","Dashboard version badge","continue_active_low_fidelity","optional","no","UI-B8-design-followup","Low priority formal icon."
"ui02.logout","assets/icons/ui02_module_selection/logout.png","logout_icon","current_active","Dashboard old/logout support","continue_active_low_fidelity","optional","no","future_account_stage","Current shell does not emphasize account logout."
"ui02.workspace","assets/icons/ui02_module_selection/workspace.png","fallback_module_icon","current_active","Fallback for LabTools; module enter buttons","continue_as_fallback","yes_labtools_icon_should_replace_fallback_later","no","UI-B8-design-followup","Do not treat fallback as final LabTools identity."
"ui02.project_entry","assets/icons/ui02_module_selection/project_entry.png","project_entry_icon","current_active","Recent project placeholder","continue_active_low_fidelity","optional","no","UI-B8-design-followup","Referenced by active loader and UI tests."
"ui03.project_home_set","assets/icons/ui03_project_home/*.png","bio_project_home_icons","current_active","Bioinformatics project home cards and fields","continue_active_low_fidelity","yes_if_bio_target_pages_get_high_fidelity","no","UI-B8-design-followup","Keep because tests and active Bio project home depend on these."
"bio.workflow.ui04","missing: assets/icons/workflow/ui04_data_source.png","bio_workflow_icon","missing_registered","not used by current target shell","continue_text_status_placeholder","yes_if_target_page_icon_map_approved","no","UI-B8-design-followup","Registered as optional legacy workflow slot."
"bio.workflow.ui05","missing: assets/icons/workflow/ui05_acquisition_status.png","bio_workflow_icon","missing_registered","not used by current target shell","continue_text_status_placeholder","yes_if_target_page_icon_map_approved","no","UI-B8-design-followup","Old UI05 may be folded into target data source flow."
